frq I Q Mdiv Clk DAC Kdiv
4104.00 9324.00 -10719.00 1082130432 32768 128 32
131328.00 1415.00 -2153.00 1082130432 32768 128 1
4104.00 8538.00 -9391.00 1082130432 32768 128 32
131328.00 375.00 -1159.00 1082130432 32768 128 1
4104.00 8527.00 -9378.00 1082130432 32768 128 32
131328.00 918.00 -1660.00 1082130432 32768 128 1
4104.00 7191.00 -8010.00 1082130432 32768 128 32
131328.00 1195.00 -1999.00 1082130432 32768 128 1
4104.00 7368.00 -8130.00 1082130432 32768 128 32
131328.00 551.00 -1359.00 1082130432 32768 128 1
4104.00 7920.00 -8712.00 1082130432 32768 128 32
131328.00 396.00 -1202.00 1082130432 32768 128 1
4104.00 7918.00 -8716.00 1082130432 32768 128 32
131328.00 25.00 -804.00 1082130432 32768 128 1
4104.00 7566.00 -8342.00 1082130432 32768 128 32
131328.00 860.00 -1630.00 1082130432 32768 128 1
4104.00 8371.00 -9166.00 1082130432 32768 128 32
131328.00 1389.00 -2147.00 1082130432 32768 128 1
4104.00 6710.00 -7519.00 1082130432 32768 128 32
131328.00 509.00 -1291.00 1082130432 32768 128 1
4104.00 8089.00 -8900.00 1082130432 32768 128 32
131328.00 476.00 -1218.00 1082130432 32768 128 1
4104.00 7874.00 -8642.00 1082130432 32768 128 32
131328.00 1144.00 -1922.00 1082130432 32768 128 1
4104.00 7373.00 -8207.00 1082130432 32768 128 32
131328.00 468.00 -1243.00 1082130432 32768 128 1
4104.00 8071.00 -8794.00 1082130432 32768 128 32
131328.00 1503.00 -2270.00 1082130432 32768 128 1
4104.00 8275.00 -9049.00 1082130432 32768 128 32
131328.00 953.00 -1744.00 1082130432 32768 128 1
4104.00 6896.00 -7690.00 1082130432 32768 128 32
131328.00 -78.00 -724.00 1082130432 32768 128 1
4104.00 6737.00 -7509.00 1082130432 32768 128 32
131328.00 500.00 -1263.00 1082130432 32768 128 1
4104.00 7637.00 -8471.00 1082130432 32768 128 32
131328.00 992.00 -1786.00 1082130432 32768 128 1
4104.00 8446.00 -9230.00 1082130432 32768 128 32
131328.00 1176.00 -1962.00 1082130432 32768 128 1
4104.00 7712.00 -8490.00 1082130432 32768 128 32
131328.00 819.00 -1613.00 1082130432 32768 128 1
4104.00 6822.00 -7627.00 1082130432 32768 128 32
131328.00 -70.00 -720.00 1082130432 32768 128 1
4104.00 8462.00 -9241.00 1082130432 32768 128 32
131328.00 683.00 -1470.00 1082130432 32768 128 1
4104.00 7537.00 -8367.00 1082130432 32768 128 32
131328.00 136.00 -890.00 1082130432 32768 128 1
4104.00 7273.00 -8047.00 1082130432 32768 128 32
131328.00 -35.00 -734.00 1082130432 32768 128 1
4104.00 7807.00 -8597.00 1082130432 32768 128 32
131328.00 696.00 -1479.00 1082130432 32768 128 1
4104.00 7927.00 -8686.00 1082130432 32768 128 32
131328.00 1177.00 -1911.00 1082130432 32768 128 1
4104.00 8521.00 -9291.00 1082130432 32768 128 32
131328.00 1053.00 -1810.00 1082130432 32768 128 1
4104.00 7850.00 -8645.00 1082130432 32768 128 32
131328.00 1262.00 -2098.00 1082130432 32768 128 1
4104.00 8987.00 -9807.00 1082130432 32768 128 32
131328.00 472.00 -1266.00 1082130432 32768 128 1
4104.00 8009.00 -8792.00 1082130432 32768 128 32
131328.00 1214.00 -1949.00 1082130432 32768 128 1
4104.00 7803.00 -8574.00 1082130432 32768 128 32
131328.00 1303.00 -2084.00 1082130432 32768 128 1
4104.00 7891.00 -8664.00 1082130432 32768 128 32
131328.00 431.00 -1211.00 1082130432 32768 128 1
4104.00 6974.00 -7745.00 1082130432 32768 128 32
131328.00 250.00 -995.00 1082130432 32768 128 1
4104.00 7783.00 -8573.00 1082130432 32768 128 32
131328.00 843.00 -1665.00 1082130432 32768 128 1
4104.00 8246.00 -9032.00 1082130432 32768 128 32
131328.00 352.00 -1167.00 1082130432 32768 128 1
