frq I Q
4104 436.4 -445.25
131328 173.52 -178.67
4104 445.03 -450.29
131328 169.29 -174.34
4104 436.48 -441.67
4104 440.72 -445.99
131328 164.59 -169.55
4104 440.41 -445.71
131328 184.64 -189.74
4104 441.99 -447.33
131328 180.61 -185.61
4104 438.66 -443.92
131328 187.6 -192.62
131328 165.43 -170.41
4104 439.84 -445.1
4104 442.44 -447.74
131328 164.77 -169.8
131328 180.26 -185.26
4104 442.4 -447.7
4104 443.12 -448.45
131328 192.97 -197.93
131328 174.61 -179.7
4104 443.73 -448.97
4104 441.34 -446.57
131328 172.84 -177.89
131328 172.91 -177.87
4104 442.21 -447.47
4104 444.59 -449.78
131328 190.14 -195.29
131328 165.43 -170.48
4104 440.96 -446.25
4104 436.31 -441.57
131328 176.36 -181.39
4104 442.56 -447.69
131328 174.97 -180.01
4104 443.08 -448.35
4104 441.17 -446.4
131328 165.94 -170.94
131328 179.58 -184.56
131328 183.28 -188.36
4104 439.14 -444.4
4104 439.98 -445.24
131328 180.97 -185.95
131328 167.62 -172.73
4104 437.48 -442.75
4104 438.12 -443.33
131328 175.33 -180.43
131328 176.76 -181.81
4104 441.83 -447.08
4104 442.41 -447.68
131328 171.01 -176.07
131328 172.77 -177.74
4104 444.28 -449.5
131328 179.96 -184.96
4104 436.87 -442.13
131328 164.78 -169.83
4104 438.29 -443.54
4104 442.45 -447.69
4104 443.02 -448.31
131328 168.24 -173.31
131328 157.9 -162.86
4104 440.32 -445.55
131328 166.7 -171.68
131328 189.3 -194.39
4104 440.46 -445.74
4104 440.6 -445.92
131328 188.85 -193.76
131328 174.71 -179.78
4104 435.3 -440.53
131328 180.69 -185.77
4104 442.33 -447.63
4104 441.0 -446.27
131328 181.29 -186.23
4104 441.84 -447.06
131328 179.86 -184.86
131328 192.37 -197.43
4104 439.12 -444.35
4104 444.18 -449.41
131328 182.53 -187.53
131328 172.86 -177.95
4104 441.53 -446.75
4104 438.69 -443.94
131328 165.96 -170.8
4104 442.83 -448.17
4104 435.41 -440.64
131328 170.41 -175.39
131328 169.64 -174.63
4104 440.23 -445.49
4104 439.22 -444.55
131328 179.36 -184.38
131328 172.82 -177.76
4104 442.87 -448.16
131328 183.72 -188.61
131328 163.19 -168.22
4104 439.47 -444.75
131328 179.4 -184.42
4104 437.94 -443.22
131328 169.24 -174.27
4104 440.71 -445.91
131328 163.39 -168.35
4104 439.14 -444.49
131328 177.4 -182.5
4104 439.03 -444.29
131328 166.84 -171.84
4104 442.23 -447.45
131328 180.15 -185.16
4104 440.02 -445.37
4104 441.11 -446.43
131328 195.87 -200.92
131328 167.86 -172.91
4104 442.2 -447.47
131328 164.84 -169.91
131328 176.34 -181.3
4104 438.55 -443.77
131328 169.64 -174.65
4104 436.98 -442.26
4104 439.34 -444.59
131328 177.95 -182.96
4104 437.56 -442.82
131328 160.25 -165.29
131328 166.62 -171.68
4104 435.94 -441.16
4104 443.46 -448.72
