frq I Q
4104 -61.53 51.63
131328 -486.47 481.97
4104 -29.48 23.13
4104 -30.04 25.65
131328 -467.6 462.99
4104 -32.77 26.5
131328 -465.04 460.26
4104 -32.83 29.09
131328 -467.93 463.29
131328 -465.03 460.15
4104 -31.49 25.49
4104 -32.98 29.12
131328 -466.99 462.24
4104 -32.6 26.59
131328 -465.75 460.92
131328 -464.97 460.2
4104 -32.74 29.05
4104 -31.62 25.06
131328 -467.77 462.95
4104 -32.15 25.93
4104 -34.52 28.02
131328 -465.69 461.32
131328 -466.57 462.02
4104 -28.66 24.94
4104 -35.33 31.5
4104 -35.11 28.97
131328 -465.34 460.48
131328 -464.64 459.74
4104 -31.84 28.21
131328 -465.5 460.74
131328 -466.62 462.06
4104 -27.83 24.05
131328 -466.4 461.47
4104 -28.88 24.96
131328 -465.67 460.8
4104 -34.7 28.13
4104 -31.05 27.39
131328 -464.75 459.94
131328 -465.4 460.8
4104 -31.63 27.61
131328 -464.83 459.91
4104 -34.74 28.09
4104 -30.43 24.15
131328 -465.63 460.76
131328 -465.13 460.42
4104 -30.88 27.18
131328 -467.6 462.79
131328 -465.34 460.4
4104 -31.82 26.98
4104 -30.67 26.92
131328 -465.64 460.64
4104 -32.21 25.68
131328 -467.22 462.32
131328 -464.93 460.21
4104 -36.94 30.76
4104 -33.29 29.71
131328 -465.27 460.73
131328 -464.15 459.21
4104 -32.4 26.13
131328 -466.44 461.62
4104 -29.9 23.56
4104 -30.13 26.39
4104 -29.35 25.41
131328 -465.6 460.7
131328 -465.63 460.69
4104 -35.2 29.01
131328 -464.71 459.75
131328 -466.88 461.82
4104 -32.92 26.41
4104 -30.08 26.22
131328 -466.2 461.36
4104 -36.79 30.65
4104 -29.4 25.38
131328 -464.8 459.76
131328 -467.23 462.55
131328 -467.01 461.96
4104 -32.53 26.15
131328 -466.82 462.22
4104 -28.88 25.1
4104 -31.87 26.02
131328 -467.14 462.13
131328 -466.2 461.17
4104 -34.09 30.04
4104 -30.04 26.23
131328 -467.45 462.54
4104 -33.22 29.56
131328 -464.45 459.38
4104 -31.54 26.29
4104 -30.43 26.32
131328 -467.02 461.95
131328 -464.25 459.27
4104 -29.44 24.95
131328 -465.63 460.54
4104 -34.46 27.96
131328 -464.78 459.8
4104 -32.82 26.18
131328 -465.93 461.07
4104 -32.85 26.25
4104 -35.31 31.23
131328 -464.08 458.93
4104 -31.92 25.67
131328 -465.29 460.23
4104 -33.97 27.65
131328 -466.72 461.59
131328 -465.85 460.97
4104 -32.12 28.46
4104 -34.16 27.65
131328 -466.24 461.23
131328 -465.99 460.98
4104 -30.11 25.34
131328 -465.72 460.37
4104 -33.76 29.68
4104 -33.4 29.59
131328 -466.48 461.21
131328 -466.11 460.86
4104 -26.81 21.96
4104 -32.5 26.43
131328 -465.52 460.38
4104 -34.46 28.17
131328 -465.17 460.26
4104 -31.25 27.34
131328 -465.26 460.28
131328 -464.84 459.66
4104 -27.62 21.63
131328 -467.43 462.35
4104 -35.46 29.09
4104 -31.02 27.23
131328 -465.24 460.19
131328 -468.27 463.02
4104 -38.02 31.47
4104 -30.76 24.22
131328 -465.87 460.76
4104 -33.03 29.17
131328 -466.58 461.62
131328 -464.97 459.81
4104 -27.81 24.16
4104 -32.24 28.32
131328 -465.62 460.32
4104 -34.01 27.58
131328 -468.08 462.54
131328 -466.07 460.84
4104 -33.25 29.47
131328 -464.89 459.74
4104 -25.15 21.35
4104 -29.77 25.89
131328 -466.64 461.4
4104 -30.31 23.94
4104 -32.7 26.35
131328 -465.56 460.23
131328 -467.18 462.11
4104 -28.22 24.63
131328 -467.1 462.26
131328 -468.19 462.98
4104 -31.13 27.29
4104 -33.78 29.7
131328 -465.99 460.76
131328 -466.57 461.34
4104 -30.96 24.68
131328 -466.24 461.18
4104 -30.92 27.08
4104 -35.43 31.53
131328 -466.83 461.66
131328 -467.9 462.52
4104 -29.94 23.53
131328 -468.24 463.13
4104 -29.8 25.98
4104 -27.46 23.51
131328 -468.34 463.04
4104 -31.22 27.13
131328 -464.48 459.11
4104 -29.41 25.68
131328 -466.18 460.95
131328 -465.22 459.91
4104 -29.95 24.6
4104 -32.83 29.04
131328 -465.97 460.77
4104 -31.95 27.13
131328 -466.77 461.46
4104 -37.12 33.17
131328 -464.9 459.76
131328 -465.65 460.36
4104 -32.84 28.85
4104 -30.62 26.9
131328 -464.54 459.24
131328 -466.99 461.7
4104 -31.04 27.07
4104 -31.51 27.88
131328 -467.42 462.25
131328 -465.07 459.78
4104 -33.87 27.32
131328 -465.28 460.27
4104 -36.28 32.38
4104 -30.13 26.15
131328 -466.69 461.27
4104 -28.75 22.33
131328 -467.78 462.6
4104 -33.93 27.68
131328 -467.16 462.03
4104 -29.33 25.6
131328 -466.34 461.07
131328 -465.58 460.3
4104 -33.87 29.33
4104 -34.69 30.94
131328 -467.0 461.71
4104 -25.52 21.55
131328 -466.99 461.68
4104 -31.23 27.3
131328 -468.14 462.73
4104 -27.56 21.37
4104 -36.5 30.03
131328 -465.32 460.18
131328 -465.44 460.41
4104 -34.21 30.15
131328 -466.3 461.13
4104 -32.82 26.27
131328 -464.6 459.56
4104 -29.45 25.5
4104 -33.19 29.4
131328 -464.91 459.7
4104 -36.95 32.84
131328 -466.67 461.27
131328 -467.28 462.02
4104 -36.66 30.6
131328 -464.99 459.81
4104 -36.01 29.35
4104 -33.2 26.8
131328 -466.36 461.35
131328 -466.37 461.29
4104 -30.72 27.01
131328 -467.14 461.91
4104 -32.13 25.72
4104 -34.37 28.38
131328 -466.58 461.42
4104 -28.71 24.61
131328 -466.34 461.07
4104 -28.69 24.86
131328 -467.26 461.88
131328 -469.05 463.69
4104 -35.72 30.38
4104 -31.31 24.84
131328 -464.93 459.62
131328 -463.7 458.6
4104 -33.62 29.15
131328 -466.32 461.09
4104 -29.02 24.11
131328 -466.82 461.71
4104 -30.76 24.45
4104 -30.56 25.23
131328 -465.62 460.52
131328 -467.81 462.6
4104 -35.71 31.88
131328 -468.0 462.76
4104 -36.42 30.25
131328 -464.89 459.89
4104 -35.6 31.78
131328 -464.58 459.4
4104 -35.73 32.03
4104 -32.1 28.29
4104 -29.37 25.5
131328 -466.1 460.72
131328 -464.96 459.68
4104 -34.0 27.74
131328 -467.58 462.23
131328 -465.42 460.3
4104 -28.21 24.5
4104 -32.1 28.27
131328 -465.28 460.05
4104 -36.36 29.88
4104 -33.81 27.56
131328 -468.56 463.25
131328 -466.13 460.81
4104 -32.38 25.81
4104 -34.42 30.56
131328 -467.07 461.91
131328 -465.57 460.32
4104 -34.42 28.21
4104 -32.81 28.95
131328 -466.11 460.89
131328 -465.51 460.25
4104 -32.19 26.32
4104 -31.01 24.72
131328 -465.27 460.21
4104 -32.56 28.51
131328 -466.69 461.62
4104 -30.64 26.83
131328 -464.91 459.55
131328 -465.5 460.19
4104 -31.12 24.8
131328 -466.3 461.16
4104 -31.68 25.31
4104 -34.87 28.7
131328 -467.26 462.05
4104 -32.33 28.47
131328 -467.26 461.99
131328 -467.05 461.63
4104 -29.88 23.33
131328 -467.46 462.45
4104 -35.58 31.78
131328 -465.38 460.13
4104 -28.52 24.62
131328 -467.25 461.91
4104 -27.74 24.1
4104 -35.26 29.01
131328 -464.54 459.1
4104 -31.93 28.09
4104 -33.76 27.49
131328 -466.77 461.7
131328 -466.24 461.05
131328 -465.89 460.65
4104 -29.93 25.26
131328 -467.98 462.57
4104 -29.18 25.15
131328 -466.74 461.52
4104 -33.74 27.36
131328 -466.99 461.9
4104 -33.26 29.33
4104 -30.78 24.25
131328 -466.42 461.15
131328 -467.36 462.27
4104 -34.9 28.61
4104 -34.05 27.64
131328 -465.79 460.7
131328 -465.81 460.68
4104 -32.63 28.65
4104 -34.59 30.58
4104 -32.07 28.27
131328 -465.33 459.97
131328 -467.17 461.89
4104 -32.33 25.78
131328 -468.01 462.81
4104 -30.05 23.56
131328 -465.58 460.52
131328 -466.15 461.17
4104 -31.17 24.99
131328 -468.17 463.15
4104 -34.91 31.13
4104 -29.92 26.15
131328 -465.29 459.9
131328 -467.03 461.54
4104 -28.79 25.13
4104 -34.11 27.62
131328 -466.75 461.41
131328 -467.26 462.01
4104 -33.0 26.6
4104 -31.72 27.77
131328 -466.59 461.62
131328 -465.97 460.55
4104 -29.82 23.19
131328 -468.64 463.3
4104 -33.81 27.36
4104 -30.76 24.45
131328 -467.13 461.87
131328 -465.91 460.76
4104 -30.21 26.13
131328 -465.99 460.67
131328 -466.09 460.74
4104 -30.23 23.72
131328 -467.35 462.18
4104 -33.21 29.27
131328 -464.45 459.11
4104 -35.26 29.07
131328 -464.55 459.24
4104 -30.0 23.55
131328 -467.47 462.37
4104 -29.6 25.79
4104 -30.12 23.9
131328 -467.09 461.8
131328 -463.65 458.38
4104 -32.79 26.46
131328 -464.45 459.34
4104 -33.58 28.21
131328 -467.09 461.81
4104 -34.85 30.78
131328 -466.87 461.5
4104 -32.32 25.79
131328 -466.06 460.78
4104 -33.76 28.89
4104 -33.43 27.13
131328 -465.41 460.21
4104 -28.84 24.92
131328 -465.44 460.31
4104 -34.38 30.68
131328 -466.82 461.57
4104 -32.38 28.68
131328 -466.03 460.7
4104 -29.69 23.3
131328 -465.84 460.48
4104 -30.65 24.45
4104 -33.42 28.15
131328 -466.67 461.46
131328 -466.26 461.08
131328 -465.45 460.31
4104 -31.93 28.33
4104 -32.56 26.04
131328 -466.44 461.03
4104 -29.7 25.83
131328 -468.01 462.79
131328 -466.37 461.13
4104 -34.62 28.52
4104 -31.19 27.24
131328 -465.73 460.62
131328 -465.28 460.07
4104 -32.7 26.33
131328 -467.83 462.66
4104 -30.13 23.72
131328 -466.03 460.79
4104 -30.01 23.66
131328 -466.66 461.48
4104 -34.21 27.67
131328 -466.01 460.74
4104 -33.86 27.41
4104 -31.4 25.88
131328 -466.91 461.95
4104 -32.24 28.43
4104 -33.78 29.83
131328 -466.64 461.37
131328 -466.32 461.02
4104 -31.17 24.88
131328 -466.34 461.13
4104 -32.68 26.42
131328 -467.92 462.81
131328 -466.34 461.14
4104 -29.41 23.18
131328 -465.09 460.07
4104 -32.6 26.45
131328 -467.51 462.46
4104 -32.44 28.43
4104 -32.12 28.39
131328 -465.97 460.78
131328 -465.98 460.79
4104 -31.17 27.36
4104 -33.1 29.21
131328 -466.2 460.86
131328 -465.67 460.42
4104 -35.48 30.3
4104 -34.48 30.83
131328 -464.79 459.61
4104 -35.11 28.64
4104 -36.65 32.96
131328 -465.99 460.64
131328 -465.12 459.95
131328 -466.63 461.37
4104 -32.25 28.58
131328 -466.06 460.71
4104 -34.07 30.18
4104 -32.83 26.62
131328 -467.11 461.79
4104 -31.69 27.92
131328 -465.13 459.89
131328 -467.32 462.02
131328 -467.0 461.65
4104 -33.6 26.97
4104 -32.21 25.97
131328 -465.67 460.63
131328 -466.16 460.99
4104 -32.78 28.39
131328 -467.93 462.8
4104 -30.88 27.18
131328 -466.52 461.18
4104 -28.6 24.53
131328 -466.07 460.78
4104 -34.85 31.22
131328 -467.02 461.64
4104 -32.85 27.5
4104 -29.98 23.55
131328 -467.78 462.56
4104 -33.89 27.68
131328 -466.31 461.23
131328 -465.2 460.05
4104 -33.19 29.46
131328 -466.43 461.11
4104 -32.64 27.77
4104 -33.59 27.03
131328 -466.91 461.62
131328 -464.73 459.62
4104 -31.77 25.69
4104 -31.19 24.95
131328 -467.29 462.09
4104 -30.88 26.97
131328 -464.92 459.88
4104 -33.7 27.32
131328 -466.05 460.74
4104 -34.79 28.35
131328 -467.35 462.29
131328 -467.56 462.37
4104 -30.83 24.48
4104 -34.46 30.89
131328 -466.26 461.15
131328 -468.22 462.96
4104 -31.93 25.47
4104 -30.31 26.3
131328 -466.12 460.89
4104 -28.99 22.9
131328 -464.01 458.72
131328 -466.75 461.61
4104 -29.32 23.39
131328 -464.97 459.82
4104 -32.64 26.33
4104 -30.33 26.39
131328 -466.68 461.46
4104 -32.09 26.69
131328 -465.05 459.76
4104 -28.19 24.43
131328 -466.2 461.11
4104 -35.54 29.38
131328 -465.01 459.82
131328 -465.93 460.79
4104 -34.23 29.54
131328 -465.91 460.85
4104 -37.56 31.16
4104 -32.77 26.54
131328 -465.68 460.52
4104 -34.44 28.41
131328 -468.36 463.12
131328 -465.17 460.11
4104 -32.99 26.42
131328 -465.97 460.97
4104 -34.13 30.09
4104 -32.6 26.36
131328 -466.84 461.68
131328 -465.44 460.42
4104 -31.12 27.52
131328 -464.84 459.71
4104 -36.48 32.6
4104 -31.84 28.13
131328 -466.61 461.46
4104 -36.58 32.88
131328 -467.14 461.83
131328 -467.2 461.96
4104 -29.37 23.03
4104 -33.67 29.98
131328 -466.92 461.99
131328 -466.43 461.08
4104 -31.97 25.53
4104 -31.68 27.66
131328 -465.45 460.34
4104 -32.01 28.21
131328 -465.89 460.78
131328 -466.24 460.91
4104 -36.66 32.79
4104 -36.25 32.56
131328 -465.58 460.44
4104 -30.25 23.88
131328 -467.11 461.97
131328 -466.16 461.3
4104 -33.2 29.42
4104 -33.67 27.5
131328 -468.89 463.73
4104 -31.12 24.73
131328 -465.89 460.99
4104 -32.4 25.91
131328 -465.93 461.05
4104 -35.54 29.11
131328 -466.14 461.11
4104 -28.48 24.69
131328 -465.34 460.47
131328 -466.23 461.09
4104 -30.54 26.63
131328 -463.69 458.66
4104 -34.59 28.26
4104 -36.24 29.79
131328 -467.19 462.23
131328 -465.94 461.1
4104 -30.48 26.91
131328 -465.76 460.74
4104 -33.48 26.98
131328 -464.94 460.05
4104 -32.33 26.2
131328 -464.22 459.38
4104 -34.58 30.77
131328 -465.36 460.42
4104 -30.42 24.51
4104 -28.58 24.72
131328 -465.93 461.07
4104 -31.56 25.31
131328 -466.2 461.13
131328 -466.36 461.48
4104 -28.77 22.51
131328 -465.44 460.67
4104 -32.31 26.15
4104 -31.9 28.21
131328 -463.93 459.19
4104 -30.84 24.8
131328 -466.16 461.01
131328 -466.81 462.1
4104 -34.46 28.55
4104 -28.77 23.06
131328 -466.36 461.6
4104 -33.5 27.4
131328 -466.55 461.8
131328 -465.61 460.8
4104 -31.16 24.75
4104 -27.99 21.98
4104 -31.2 27.5
131328 -465.11 460.19
131328 -467.4 462.71
131328 -464.6 459.66
4104 -27.62 23.62
4104 -31.75 25.56
131328 -464.38 459.44
4104 -35.73 30.39
131328 -467.57 462.83
131328 -465.4 460.57
4104 -31.51 27.77
4104 -32.69 26.41
131328 -465.99 461.17
131328 -466.03 461.42
131328 -466.4 461.37
4104 -34.68 28.46
131328 -466.17 461.54
4104 -28.56 24.88
131328 -465.63 460.74
4104 -32.5 28.78
4104 -34.06 27.6
131328 -467.14 462.15
131328 -467.14 462.48
4104 -35.48 30.2
4104 -36.68 31.06
131328 -467.74 463.04
4104 -35.4 31.53
131328 -465.16 460.45
4104 -34.54 30.78
4104 -30.12 25.36
131328 -466.6 461.58
131328 -466.46 461.5
131328 -465.64 460.72
4104 -32.07 28.39
4104 -28.63 24.72
131328 -466.36 461.47
131328 -466.48 461.77
4104 -34.24 27.96
131328 -465.28 460.68
4104 -34.32 28.3
4104 -34.07 27.95
131328 -465.91 461.34
131328 -466.08 461.4
4104 -29.54 25.28
4104 -35.19 28.66
131328 -466.94 462.07
4104 -34.46 30.8
131328 -464.42 459.83
4104 -35.36 29.31
131328 -465.64 460.86
4104 -34.25 30.5
131328 -465.5 460.81
4104 -33.66 29.94
4104 -33.25 26.93
131328 -466.01 461.0
131328 -467.28 462.5
4104 -29.34 25.13
4104 -29.89 26.09
131328 -465.72 460.95
131328 -466.87 462.0
4104 -30.64 24.39
4104 -34.8 28.5
4104 -31.72 25.46
131328 -467.22 462.72
131328 -465.81 461.07
131328 -466.33 461.7
4104 -30.01 26.1
131328 -467.74 462.9
4104 -31.09 24.78
131328 -466.59 462.11
4104 -32.73 28.76
131328 -467.01 462.38
4104 -32.91 26.68
131328 -465.34 460.85
4104 -28.41 23.53
4104 -29.13 24.95
131328 -467.48 462.75
131328 -465.54 460.81
4104 -31.91 28.15
131328 -465.47 460.86
4104 -34.65 28.23
4104 -30.5 26.51
131328 -465.91 461.56
4104 -27.94 23.95
131328 -464.58 459.76
131328 -466.52 461.85
4104 -31.38 25.54
131328 -465.45 460.93
4104 -31.37 24.93
131328 -467.08 462.48
4104 -30.67 26.99
4104 -28.74 25.09
131328 -464.99 460.23
131328 -465.36 460.57
4104 -33.31 27.12
4104 -35.33 28.97
131328 -464.37 459.81
4104 -30.83 27.08
131328 -466.7 462.19
4104 -34.84 28.56
131328 -466.13 461.43
131328 -462.58 457.98
4104 -33.73 27.52
131328 -464.55 459.89
4104 -35.54 28.98
131328 -465.92 461.25
4104 -34.98 31.31
4104 -31.81 27.87
131328 -465.17 460.31
131328 -465.71 461.12
4104 -31.89 25.86
4104 -32.36 27.1
131328 -465.7 460.97
4104 -29.76 25.98
131328 -464.75 460.17
4104 -31.6 27.17
131328 -466.08 461.42
4104 -34.38 28.11
4104 -35.68 29.13
131328 -465.47 460.76
131328 -467.06 462.63
131328 -465.48 461.03
4104 -33.13 29.52
4104 -34.17 27.62
131328 -464.52 459.82
4104 -33.13 29.25
131328 -466.32 461.77
131328 -465.85 461.01
4104 -32.5 28.95
131328 -467.04 462.38
4104 -32.37 26.0
4104 -29.93 25.82
131328 -465.11 460.52
4104 -35.39 29.42
131328 -464.39 459.77
131328 -466.44 461.87
4104 -31.54 25.09
131328 -465.99 461.57
4104 -33.29 26.98
4104 -31.27 25.04
131328 -465.4 460.7
131328 -465.68 461.01
4104 -32.69 29.03
4104 -31.51 27.85
131328 -466.92 462.28
4104 -36.29 30.01
4104 -32.01 25.68
131328 -466.22 461.49
131328 -466.21 461.83
4104 -33.78 28.39
4104 -34.04 27.68
131328 -466.36 461.69
131328 -467.26 462.79
4104 -31.55 26.76
131328 -466.5 461.81
131328 -465.38 460.67
4104 -36.24 29.77
4104 -29.6 23.09
131328 -465.24 460.77
131328 -467.98 463.3
131328 -465.42 460.64
4104 -34.32 29.54
4104 -29.82 25.04
131328 -466.42 461.66
4104 -35.13 28.95
131328 -466.54 461.89
4104 -32.25 25.8
131328 -465.26 460.67
131328 -467.17 462.72
4104 -28.1 24.38
4104 -35.22 30.26
131328 -466.63 461.91
