frq I Q
4104 -3890.0 3158.35
131328 -341.0 6412.71
4104 -2972.96 562.81
4104 -2539.26 -2946.47
131328 -1178.59 5965.78
4104 -3999.26 -1463.3
4104 -3648.33 3148.42
131328 4370.05 7978.65
131328 1936.73 473.42
4104 -8610.98 -1890.38
131328 1556.0 6737.16
4104 -3476.17 -2373.73
131328 7402.6 423.76
4104 -9081.09 3671.5
131328 -1092.51 9263.18
131328 4495.85 7832.98
4104 -3684.74 1549.38
131328 -2367.11 9163.86
4104 -5287.1 3807.24
4104 -3800.62 460.18
4104 -26.49 -678.68
131328 -3866.83 3926.42
131328 -337.69 2820.67
4104 3486.11 1056.09
4104 -2532.64 2516.09
131328 7952.16 5767.14
131328 231.74 1615.59
4104 -7061.6 2204.89
131328 -1618.9 8018.38
4104 -1032.92 1446.75
131328 -5032.18 5379.79
4104 -1549.38 -552.88
4104 -7160.92 -4134.99
131328 -1764.57 10064.35
131328 -1138.86 2426.7
4104 -3631.77 -509.84
4104 -6300.15 1718.22
131328 46.35 -3105.38
4104 718.41 450.25
131328 -3929.73 6707.36
131328 3016.0 6445.82
4104 -3681.43 2542.57
4104 -2625.34 1456.68
131328 2314.14 7084.77
4104 -4677.94 -3098.76
131328 -1973.14 7455.57
131328 1258.04 6935.8
4104 -8895.7 -1072.65
4104 -834.28 1085.89
131328 -423.76 4532.27
131328 2284.34 -1516.27
4104 -1628.84 -2175.09
4104 -8134.25 -4095.26
131328 284.72 2708.11
131328 4456.12 6641.15
4104 -8382.55 5522.15
131328 26.49 5310.27
4104 -2469.74 -79.46
4104 -4005.88 -2237.99
131328 1512.96 11679.95
131328 1930.1 -970.02
4104 -2999.44 2377.04
4104 -5071.9 1099.13
4104 427.07 503.22
131328 6015.44 2714.73
131328 -5638.02 9240.0
4104 -3059.03 1360.67
131328 4469.37 4495.85
4104 -2896.81 -1857.27
131328 5287.1 8832.79
131328 -2708.11 9071.16
4104 -5055.35 -1102.44
131328 -6180.97 10915.19
4104 -5244.06 -52.97
131328 1039.54 10504.67
4104 -7928.99 -559.5
4104 -1963.21 3502.66
131328 -6843.1 7515.16
131328 1949.97 6396.16
4104 -6389.54 2065.84
131328 69.52 -2635.27
131328 -59.59 6343.19
4104 -4691.18 1168.66
4104 -6008.82 -652.2
131328 6247.18 -1446.75
131328 4956.03 9617.42
4104 -2420.08 3466.24
4104 -2850.46 1380.54
131328 3423.2 205.26
4104 -397.28 -2628.65
131328 -2029.42 13812.0
131328 -2204.89 8763.27
4104 -4969.27 2943.16
4104 -2085.7 -2158.54
131328 3198.08 8677.19
131328 -5985.64 7256.93
4104 -2221.44 1102.44
131328 2400.22 3376.86
131328 1337.5 5409.59
4104 -6131.31 -3813.86
4104 -2757.77 2578.99
131328 1632.15 1542.76
131328 1407.02 4178.03
4104 -2969.65 1976.45
4104 -1132.24 2201.58
131328 2896.81 -1089.2
4104 -5727.41 -5942.6
131328 4737.53 6505.41
131328 2996.13 4058.85
4104 -2694.86 1493.1
4104 -4677.94 -324.44
131328 4668.01 5697.62
4104 -5101.7 -903.81
4104 -3085.52 -877.32
131328 -1258.04 837.59
131328 -2433.32 6091.58
4104 -4797.12 -122.49
4104 -2102.26 -82.77
131328 -337.69 5359.93
131328 3327.2 -9.93
4104 -6760.33 -599.23
131328 2506.16 10944.98
4104 -3727.78 307.89
131328 -9398.91 4482.61
131328 -4446.19 5419.52
4104 -6230.63 -821.04
131328 1039.54 1963.21
4104 -7425.77 4098.58
131328 -6442.51 3767.51
4104 -4601.79 3711.23
131328 254.92 8236.88
4104 -920.36 562.81
4104 -3072.28 -1582.49
131328 -3903.25 751.52
131328 205.26 1632.15
4104 -7237.06 132.43
4104 -3062.34 1493.1
131328 930.29 887.25
4104 -1883.76 1003.12
131328 -1039.54 539.63
131328 5654.58 3688.06
4104 -1281.22 2353.87
131328 556.19 12997.58
4104 -2290.96 -2771.01
131328 -2916.68 4906.37
4104 -2794.18 -92.7
4104 1029.61 -2678.31
4104 -1400.4 821.04
131328 -1638.77 -2814.05
131328 6406.09 5277.16
131328 629.02 6733.85
4104 -5810.18 -3621.84
4104 -3029.24 66.21
131328 4108.51 2433.32
131328 4254.18 4658.07
4104 533.01 625.71
4104 -1340.81 4423.02
131328 -6101.51 11372.06
4104 -1499.72 -2297.59
131328 -2867.02 6972.21
4104 -6624.6 -1605.66
131328 3605.29 14454.26
131328 -3085.52 6429.27
4104 -1059.41 -1496.41
4104 -2526.02 2469.74
131328 3383.48 5283.79
4104 -5409.59 711.79
131328 -1542.76 3068.97
4104 -6174.35 -4873.27
4104 -5253.99 -1393.78
131328 2655.14 10200.09
131328 -1800.99 6339.88
4104 -7114.57 -72.83
