frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
131328.0,-314.0,-15070.0,1082130432,32768,128,1,-406.89115646258506,-16358.190476190477,27.804429287049043,-1427.732348435545,1428.0030619915544,-88.88433213550677
131328.0,562.0,-17520.0,1082130432,32768,128,1,469.10884353741494,-18808.190476190477,62.52859212716257,-1745.072113905948,1746.1920019189124,-87.94788287672621
131328.0,266.0,-17412.0,1082130432,32768,128,1,173.10884353741497,-18700.190476190477,52.602885059638574,-1702.6495888729012,1703.461970812867,-88.23042570889176
131328.0,-1068.0,-16488.0,1082130432,32768,128,1,-1160.891156462585,-17776.190476190477,6.772140717676244,-1472.0953649253677,1472.1109419213797,-89.73642173362835
131328.0,-742.0,-16496.0,1082130432,32768,128,1,-834.8911564625851,-17784.190476190477,17.425243471965672,-1508.8293161813538,1508.9299335881533,-89.33832905181511
131328.0,-51.0,-16241.0,1082130432,32768,128,1,-143.89115646258503,-17529.190476190477,39.32300872922315,-1562.208236119043,1562.7030658489446,-88.55808801694738
131328.0,-1059.0,-17177.0,1082130432,32768,128,1,-1151.891156462585,-18465.190476190477,8.795787006115319,-1535.1183570581436,1535.1435555171872,-89.67171524215989
131328.0,-1087.0,-17944.0,1082130432,32768,128,1,-1179.891156462585,-19232.190476190477,9.808478775912874,-1601.076023311899,1601.1060672797857,-89.64900017310836
131328.0,-1171.0,-16562.0,1082130432,32768,128,1,-1263.891156462585,-17850.190476190477,3.598445898916111,-1467.3788062299272,1467.3832184489688,-89.85949412064315
131328.0,-525.0,-17851.0,1082130432,32768,128,1,-617.8911564625851,-19139.190476190477,27.905487653673227,-1654.7885181081122,1655.0237931533284,-89.03388552920835
131328.0,-1063.0,-16560.0,1082130432,32768,128,1,-1155.891156462585,-17848.190476190477,7.116017623709197,-1479.129681949881,1479.1467992501543,-89.72435504727932
131328.0,-835.0,-17289.0,1082130432,32768,128,1,-927.8911564625851,-18577.190476190477,16.383142326030054,-1569.9470375055782,1570.032518110697,-89.40211305460876
131328.0,-774.0,-16110.0,1082130432,32768,128,1,-866.8911564625851,-17398.190476190477,15.412256006545618,-1470.5437225611727,1470.6244855840266,-89.39952489839479
131328.0,540.0,-16929.0,1082130432,32768,128,1,447.10884353741494,-18217.190476190477,60.327010453974076,-1689.435657910875,1690.5124046900883,-87.95492945278397
