frq I Q
4104.00 524287.00 -89731.00
131328.00 507919.00 -524148.00
4104.00 507904.00 -83756.00
131328.00 507904.00 -524084.00
4104.00 507771.00 -82743.00
131328.00 507904.00 -524288.00
4104.00 508289.00 -84379.00
131328.00 485185.00 -524085.00
4104.00 509303.00 -83933.00
131328.00 485411.00 -524288.00
4104.00 509313.00 -83828.00
131328.00 465823.00 -524024.00
4104.00 510071.00 -84255.00
131328.00 450002.00 -524288.00
4104.00 510285.00 -85867.00
131328.00 468694.00 -524288.00
4104.00 509934.00 -84615.00
131328.00 445734.00 -520760.00
4104.00 510554.00 -84365.00
131328.00 462675.00 -524253.00
4104.00 510250.00 -78559.00
131328.00 454470.00 -524288.00
4104.00 510275.00 -86497.00
131328.00 448577.00 -523740.00
4104.00 510232.00 -84401.00
131328.00 446944.00 -524250.00
4104.00 510441.00 -84732.00
131328.00 455974.00 -524165.00
4104.00 510589.00 -83827.00
131328.00 470806.00 -524288.00
4104.00 509691.00 -84321.00
131328.00 455555.00 -524288.00
4104.00 510082.00 -84205.00
131328.00 450067.00 -524288.00
4104.00 509480.00 -89112.00
131328.00 450362.00 -524288.00
4104.00 510330.00 -84571.00
131328.00 443393.00 -524031.00
4104.00 510714.00 -84774.00
131328.00 444281.00 -523716.00
4104.00 510616.00 -83896.00
131328.00 449207.00 -524288.00
4104.00 510267.00 -84563.00
131328.00 450715.00 -524083.00
4104.00 510446.00 -84068.00
131328.00 464656.00 -524288.00
4104.00 509860.00 -78953.00
131328.00 448062.00 -524288.00
4104.00 510479.00 -85202.00
131328.00 458454.00 -523985.00
4104.00 510072.00 -84486.00
131328.00 444153.00 -520377.00
4104.00 510288.00 -85134.00
131328.00 444106.00 -523648.00
4104.00 510499.00 -84661.00
131328.00 476329.00 -523868.00
4104.00 509815.00 -85181.00
131328.00 453565.00 -523627.00
4104.00 510325.00 -84282.00
131328.00 452205.00 -524288.00
4104.00 510331.00 -86181.00
131328.00 450929.00 -524155.00
4104.00 510277.00 -84545.00
131328.00 474720.00 -524178.00
4104.00 510165.00 -84025.00
131328.00 473430.00 -524288.00
4104.00 509642.00 -84112.00
131328.00 460008.00 -520666.00
4104.00 509982.00 -83936.00
131328.00 447559.00 -524288.00
4104.00 510586.00 -84788.00
131328.00 453257.00 -524247.00
4104.00 510306.00 -94221.00
131328.00 461433.00 -524168.00
4104.00 509838.00 -84226.00
131328.00 445112.00 -524208.00
4104.00 510295.00 -80947.00
131328.00 464031.00 -524235.00
4104.00 510199.00 -84432.00
131328.00 466120.00 -524288.00
4104.00 509868.00 -85031.00
131328.00 465373.00 -523876.00
4104.00 510184.00 -84632.00
131328.00 474484.00 -523901.00
4104.00 508888.00 -86076.00
131328.00 461211.00 -523933.00
4104.00 509797.00 -84522.00
131328.00 446680.00 -522968.00
4104.00 510586.00 -84634.00
131328.00 445621.00 -523847.00
4104.00 510383.00 -80487.00
131328.00 462963.00 -524121.00
4104.00 509687.00 -84098.00
131328.00 462563.00 -523514.00
4104.00 510054.00 -83848.00
131328.00 442429.00 -524212.00
4104.00 510737.00 -83256.00
131328.00 475997.00 -523847.00
4104.00 509911.00 -84562.00
131328.00 473375.00 -523869.00
4104.00 509148.00 -91523.00
131328.00 444406.00 -523628.00
4104.00 510228.00 -83498.00
131328.00 463930.00 -524288.00
4104.00 509976.00 -86413.00
131328.00 448965.00 -523586.00
4104.00 510577.00 -84429.00
131328.00 459618.00 -524288.00
4104.00 510329.00 -84129.00
131328.00 451101.00 -524288.00
4104.00 510303.00 -83821.00
131328.00 447742.00 -523861.00
4104.00 510401.00 -84838.00
131328.00 460314.00 -523613.00
4104.00 510375.00 -84461.00
131328.00 443355.00 -524288.00
4104.00 510491.00 -84265.00
131328.00 450988.00 -520562.00
4104.00 510131.00 -84329.00
131328.00 445502.00 -523647.00
4104.00 510545.00 -84291.00
131328.00 444877.00 -524212.00
4104.00 510490.00 -85813.00
131328.00 474771.00 -524288.00
4104.00 509833.00 -83313.00
131328.00 441673.00 -524288.00
4104.00 510259.00 -84482.00
131328.00 450145.00 -523620.00
4104.00 510207.00 -83954.00
131328.00 471924.00 -524288.00
4104.00 509506.00 -84475.00
131328.00 453106.00 -524105.00
4104.00 510328.00 -85623.00
131328.00 458252.00 -520090.00
4104.00 510314.00 -84984.00
131328.00 450140.00 -523913.00
4104.00 510137.00 -84443.00
131328.00 462575.00 -523585.00
4104.00 510070.00 -84997.00
131328.00 466121.00 -523935.00
4104.00 509827.00 -84231.00
131328.00 451274.00 -523972.00
4104.00 510219.00 -84027.00
131328.00 444113.00 -524288.00
4104.00 510516.00 -83957.00
131328.00 468811.00 -523900.00
4104.00 509977.00 -84486.00
131328.00 449114.00 -523779.00
4104.00 510417.00 -84224.00
131328.00 470624.00 -523968.00
4104.00 508862.00 -90717.00
131328.00 461742.00 -524288.00
4104.00 509744.00 -84294.00
131328.00 446826.00 -523643.00
4104.00 510401.00 -84186.00
131328.00 475284.00 -524288.00
4104.00 509749.00 -84457.00
131328.00 441134.00 -523816.00
4104.00 510605.00 -83949.00
131328.00 444059.00 -524288.00
4104.00 510223.00 -83541.00
131328.00 457451.00 -524288.00
4104.00 510060.00 -83434.00
131328.00 465524.00 -524288.00
4104.00 509903.00 -83607.00
131328.00 445974.00 -523956.00
4104.00 509710.00 -88766.00
131328.00 452559.00 -524288.00
4104.00 510195.00 -85647.00
131328.00 455866.00 -524288.00
4104.00 510011.00 -83923.00
131328.00 442585.00 -523976.00
4104.00 510384.00 -84384.00
131328.00 444200.00 -523899.00
4104.00 510758.00 -84049.00
131328.00 442910.00 -524012.00
4104.00 510480.00 -84327.00
131328.00 440430.00 -524254.00
4104.00 510331.00 -83505.00
131328.00 444905.00 -522658.00
4104.00 510129.00 -84516.00
131328.00 463586.00 -523843.00
4104.00 510079.00 -83975.00
131328.00 448218.00 -520025.00
4104.00 510374.00 -84524.00
131328.00 466045.00 -523731.00
4104.00 509890.00 -82866.00
131328.00 460590.00 -524173.00
4104.00 510126.00 -83598.00
131328.00 475238.00 -524288.00
4104.00 509472.00 -84093.00
131328.00 450462.00 -524099.00
4104.00 510227.00 -88927.00
131328.00 471786.00 -524288.00
4104.00 509635.00 -83893.00
131328.00 438890.00 -524288.00
4104.00 510746.00 -83387.00
131328.00 465015.00 -524288.00
4104.00 510025.00 -84052.00
131328.00 441477.00 -524288.00
4104.00 509849.00 -88879.00
131328.00 441452.00 -524288.00
4104.00 510517.00 -84501.00
131328.00 450248.00 -524288.00
4104.00 510271.00 -80883.00
131328.00 464631.00 -524243.00
4104.00 510097.00 -84414.00
131328.00 447478.00 -523901.00
4104.00 510376.00 -83675.00
131328.00 439828.00 -524288.00
4104.00 510552.00 -84172.00
131328.00 447440.00 -524288.00
4104.00 510109.00 -83970.00
131328.00 466427.00 -524288.00
4104.00 509896.00 -84656.00
131328.00 446195.00 -524086.00
4104.00 509595.00 -88534.00
131328.00 472015.00 -524288.00
4104.00 509615.00 -85904.00
131328.00 467039.00 -524288.00
4104.00 509993.00 -85460.00
131328.00 452641.00 -523586.00
4104.00 510302.00 -84142.00
131328.00 448017.00 -524288.00
4104.00 510522.00 -84192.00
131328.00 461671.00 -524288.00
4104.00 510099.00 -84512.00
131328.00 460770.00 -523648.00
4104.00 509760.00 -82979.00
131328.00 446231.00 -524260.00
4104.00 510491.00 -84513.00
131328.00 458827.00 -524288.00
4104.00 510146.00 -83992.00
131328.00 444257.00 -520604.00
4104.00 510565.00 -84243.00
131328.00 442199.00 -524225.00
4104.00 510633.00 -81607.00
131328.00 440851.00 -524288.00
4104.00 510287.00 -84452.00
131328.00 475527.00 -524121.00
4104.00 509561.00 -82870.00
131328.00 462753.00 -523560.00
4104.00 510087.00 -84075.00
131328.00 468394.00 -524288.00
4104.00 509748.00 -84851.00
131328.00 467529.00 -523722.00
4104.00 509591.00 -85008.00
131328.00 446907.00 -524132.00
4104.00 510210.00 -85335.00
131328.00 443924.00 -520336.00
4104.00 510578.00 -84465.00
131328.00 468940.00 -524288.00
4104.00 509964.00 -84572.00
131328.00 444068.00 -523667.00
4104.00 510409.00 -84593.00
131328.00 461630.00 -523647.00
4104.00 510193.00 -85268.00
131328.00 459695.00 -523673.00
4104.00 510238.00 -84139.00
131328.00 460401.00 -524069.00
4104.00 510189.00 -83855.00
131328.00 449165.00 -523974.00
4104.00 510557.00 -83464.00
131328.00 449764.00 -524288.00
4104.00 510353.00 -84033.00
131328.00 454595.00 -524288.00
4104.00 509672.00 -83731.00
131328.00 475349.00 -524288.00
4104.00 509997.00 -83854.00
131328.00 449443.00 -524288.00
