frq I Q Mdiv Ref dac Kdiv
4104.00 136123.00 118695.00 1082130432 32768 128 32
131328.00 44084.00 -262280.00 1082130432 32768 128 1
4104.00 115725.00 48907.00 1082130432 32768 128 32
131328.00 40017.00 -285648.00 1082130432 32768 128 1
4104.00 114246.00 51459.00 1082130432 32768 128 32
131328.00 43447.00 -290994.00 1082130432 32768 128 1
4104.00 108307.00 44321.00 1082130432 32768 128 32
131328.00 34809.00 -291761.00 1082130432 32768 128 1
4104.00 114260.00 59732.00 1082130432 32768 128 32
131328.00 43731.00 -291694.00 1082130432 32768 128 1
4104.00 110144.00 53829.00 1082130432 32768 128 32
131328.00 40731.00 -296194.00 1082130432 32768 128 1
4104.00 102349.00 51987.00 1082130432 32768 128 32
131328.00 43309.00 -297255.00 1082130432 32768 128 1
4104.00 106356.00 45158.00 1082130432 32768 128 32
131328.00 44483.00 -297957.00 1082130432 32768 128 1
4104.00 100481.00 46404.00 1082130432 32768 128 32
131328.00 42464.00 -293325.00 1082130432 32768 128 1
4104.00 102854.00 41954.00 1082130432 32768 128 32
131328.00 46466.00 -296295.00 1082130432 32768 128 1
4104.00 106016.00 49931.00 1082130432 32768 128 32
131328.00 41582.00 -303123.00 1082130432 32768 128 1
4104.00 102684.00 50642.00 1082130432 32768 128 32
131328.00 37574.00 -298379.00 1082130432 32768 128 1
4104.00 107969.00 43446.00 1082130432 32768 128 32
131328.00 38011.00 -294080.00 1082130432 32768 128 1
4104.00 100405.00 47323.00 1082130432 32768 128 32
131328.00 37865.00 -297396.00 1082130432 32768 128 1
4104.00 111447.00 49607.00 1082130432 32768 128 32
131328.00 41780.00 -295610.00 1082130432 32768 128 1
4104.00 111481.00 41719.00 1082130432 32768 128 32
131328.00 42384.00 -303563.00 1082130432 32768 128 1
4104.00 107391.00 45346.00 1082130432 32768 128 32
131328.00 38251.00 -300230.00 1082130432 32768 128 1
4104.00 105450.00 52541.00 1082130432 32768 128 32
131328.00 47333.00 -289021.00 1082130432 32768 128 1
4104.00 110245.00 37882.00 1082130432 32768 128 32
131328.00 46290.00 -296280.00 1082130432 32768 128 1
4104.00 109105.00 58831.00 1082130432 32768 128 32
131328.00 46094.00 -299892.00 1082130432 32768 128 1
4104.00 108693.00 51762.00 1082130432 32768 128 32
131328.00 39712.00 -305603.00 1082130432 32768 128 1
4104.00 99832.00 46512.00 1082130432 32768 128 32
131328.00 49081.00 -301256.00 1082130432 32768 128 1
4104.00 106421.00 47378.00 1082130432 32768 128 32
131328.00 43246.00 -298153.00 1082130432 32768 128 1
4104.00 112854.00 49605.00 1082130432 32768 128 32
131328.00 43767.00 -300503.00 1082130432 32768 128 1
4104.00 104155.00 49861.00 1082130432 32768 128 32
131328.00 37111.00 -303416.00 1082130432 32768 128 1
4104.00 103247.00 43077.00 1082130432 32768 128 32
131328.00 43445.00 -297868.00 1082130432 32768 128 1
4104.00 107774.00 39027.00 1082130432 32768 128 32
131328.00 38389.00 -295972.00 1082130432 32768 128 1
4104.00 100380.00 41303.00 1082130432 32768 128 32
131328.00 41630.00 -294310.00 1082130432 32768 128 1
4104.00 104161.00 52639.00 1082130432 32768 128 32
131328.00 45406.00 -296859.00 1082130432 32768 128 1
4104.00 114446.00 42730.00 1082130432 32768 128 32
131328.00 42070.00 -300755.00 1082130432 32768 128 1
4104.00 105664.00 50573.00 1082130432 32768 128 32
131328.00 42268.00 -298558.00 1082130432 32768 128 1
4104.00 109504.00 53568.00 1082130432 32768 128 32
131328.00 40705.00 -295113.00 1082130432 32768 128 1
4104.00 104564.00 62953.00 1082130432 32768 128 32
131328.00 46245.00 -295182.00 1082130432 32768 128 1
4104.00 103713.00 50758.00 1082130432 32768 128 32
131328.00 43344.00 -295932.00 1082130432 32768 128 1
4104.00 108579.00 50266.00 1082130432 32768 128 32
131328.00 40711.00 -297898.00 1082130432 32768 128 1
4104.00 101476.00 51175.00 1082130432 32768 128 32
131328.00 45965.00 -301507.00 1082130432 32768 128 1
4104.00 100921.00 40589.00 1082130432 32768 128 32
131328.00 43716.00 -293841.00 1082130432 32768 128 1
4104.00 108092.00 57220.00 1082130432 32768 128 32
131328.00 43223.00 -299703.00 1082130432 32768 128 1
4104.00 108622.00 58315.00 1082130432 32768 128 32
131328.00 43466.00 -298393.00 1082130432 32768 128 1
4104.00 99490.00 46420.00 1082130432 32768 128 32
131328.00 38888.00 -300358.00 1082130432 32768 128 1
4104.00 100678.00 49124.00 1082130432 32768 128 32
131328.00 40971.00 -294843.00 1082130432 32768 128 1
4104.00 102420.00 46638.00 1082130432 32768 128 32
131328.00 44225.00 -293416.00 1082130432 32768 128 1
4104.00 96764.00 48488.00 1082130432 32768 128 32
131328.00 40615.00 -306526.00 1082130432 32768 128 1
4104.00 113597.00 44231.00 1082130432 32768 128 32
131328.00 38924.00 -301397.00 1082130432 32768 128 1
4104.00 108027.00 51188.00 1082130432 32768 128 32
131328.00 44766.00 -300464.00 1082130432 32768 128 1
4104.00 97552.00 30888.00 1082130432 32768 128 32
131328.00 41664.00 -301294.00 1082130432 32768 128 1
4104.00 115337.00 55198.00 1082130432 32768 128 32
131328.00 41798.00 -296552.00 1082130432 32768 128 1
4104.00 110266.00 59148.00 1082130432 32768 128 32
131328.00 40503.00 -304879.00 1082130432 32768 128 1
4104.00 106242.00 44081.00 1082130432 32768 128 32
131328.00 39953.00 -301545.00 1082130432 32768 128 1
4104.00 99484.00 53008.00 1082130432 32768 128 32
131328.00 42916.00 -298237.00 1082130432 32768 128 1
4104.00 105273.00 53351.00 1082130432 32768 128 32
131328.00 42085.00 -296917.00 1082130432 32768 128 1
4104.00 102652.00 44496.00 1082130432 32768 128 32
131328.00 47449.00 -296228.00 1082130432 32768 128 1
4104.00 104575.00 54210.00 1082130432 32768 128 32
131328.00 45357.00 -300477.00 1082130432 32768 128 1
4104.00 103019.00 44434.00 1082130432 32768 128 32
131328.00 42455.00 -282455.00 1082130432 32768 128 1
4104.00 103969.00 54542.00 1082130432 32768 128 32
131328.00 47061.00 -292864.00 1082130432 32768 128 1
4104.00 109562.00 53083.00 1082130432 32768 128 32
131328.00 42603.00 -296644.00 1082130432 32768 128 1
4104.00 107540.00 60658.00 1082130432 32768 128 32
131328.00 41536.00 -302059.00 1082130432 32768 128 1
4104.00 108816.00 58103.00 1082130432 32768 128 32
131328.00 41794.00 -299305.00 1082130432 32768 128 1
4104.00 107342.00 55023.00 1082130432 32768 128 32
131328.00 45046.00 -296417.00 1082130432 32768 128 1
4104.00 103480.00 58193.00 1082130432 32768 128 32
131328.00 45080.00 -292812.00 1082130432 32768 128 1
4104.00 111986.00 57060.00 1082130432 32768 128 32
131328.00 46152.00 -300514.00 1082130432 32768 128 1
4104.00 113079.00 52958.00 1082130432 32768 128 32
131328.00 38451.00 -302082.00 1082130432 32768 128 1
4104.00 104618.00 44872.00 1082130432 32768 128 32
131328.00 45554.00 -285565.00 1082130432 32768 128 1
4104.00 102831.00 45683.00 1082130432 32768 128 32
131328.00 45908.00 -293766.00 1082130432 32768 128 1
4104.00 98503.00 41211.00 1082130432 32768 128 32
131328.00 40530.00 -300169.00 1082130432 32768 128 1
4104.00 108559.00 60073.00 1082130432 32768 128 32
131328.00 43601.00 -297976.00 1082130432 32768 128 1
4104.00 105279.00 49330.00 1082130432 32768 128 32
131328.00 41407.00 -304060.00 1082130432 32768 128 1
