frq I Q
4104 40.27 -23.41
131328 23.6 -1.15
4104 38.66 -25.29
131328 23.61 -1.01
131328 23.71 -1.06
4104 38.67 -25.3
131328 23.69 -1.11
4104 38.54 -25.32
4104 38.69 -25.31
131328 23.68 -1.11
4104 38.63 -25.56
4104 38.62 -25.27
131328 23.62 -1.02
131328 23.68 -1.01
4104 38.5 -25.5
131328 23.59 -1.07
131328 23.57 -1.21
4104 38.6 -25.32
131328 23.55 -1.24
4104 38.62 -25.29
131328 23.57 -1.26
4104 38.62 -25.37
4104 38.67 -25.29
131328 23.6 -1.25
4104 38.61 -25.3
131328 23.62 -1.18
131328 23.64 -1.1
4104 38.62 -25.34
131328 23.55 -1.21
4104 38.63 -25.34
131328 23.62 -1.11
4104 38.67 -25.31
131328 23.67 -1.09
4104 38.66 -25.26
131328 23.65 -1.22
4104 38.52 -25.5
4104 38.7 -25.32
131328 23.58 -0.97
4104 38.69 -25.41
131328 23.57 -1.13
131328 23.7 -1.07
4104 38.69 -25.21
131328 23.66 -1.11
4104 38.62 -25.26
4104 38.52 -25.35
131328 23.65 -1.03
4104 38.66 -25.34
131328 23.69 -1.03
4104 38.66 -25.33
131328 23.75 -0.98
4104 38.66 -25.33
131328 23.56 -1.07
4104 38.64 -25.32
131328 23.64 -0.97
4104 38.65 -25.41
131328 23.62 -0.93
131328 23.62 -0.93
4104 38.62 -25.37
131328 23.64 -1.02
4104 38.71 -25.26
4104 38.62 -25.29
131328 23.62 -1.05
4104 38.58 -25.41
131328 23.62 -1.03
131328 23.59 -1.08
4104 38.69 -25.35
131328 23.6 -1.09
4104 38.67 -25.27
131328 23.5 -1.23
4104 38.67 -25.37
131328 23.67 -1.19
4104 38.71 -25.2
4104 38.66 -25.38
131328 23.66 -1.2
4104 38.7 -25.25
131328 23.65 -1.13
131328 23.72 -1.23
4104 38.56 -25.53
4104 38.71 -25.31
131328 23.68 -1.24
131328 23.59 -1.13
4104 38.71 -25.27
131328 23.6 -1.09
4104 38.54 -25.33
4104 38.66 -25.3
131328 23.55 -1.19
4104 38.7 -25.31
131328 23.54 -1.15
131328 23.7 -1.12
4104 38.67 -25.53
131328 23.65 -1.07
4104 38.67 -25.46
131328 23.64 -1.07
4104 38.59 -25.36
131328 23.66 -1.05
4104 38.61 -25.47
4104 38.69 -25.47
131328 23.74 -0.99
4104 38.51 -25.29
131328 23.61 -1.11
131328 23.7 -0.97
4104 38.66 -25.53
131328 23.6 -1.05
4104 38.56 -25.27
4104 38.69 -25.37
131328 23.59 -1.03
131328 23.64 -1.01
4104 38.66 -25.3
4104 38.72 -25.41
131328 23.6 -1.01
4104 38.61 -25.33
131328 23.57 -1.06
131328 23.57 -1.05
4104 38.58 -25.53
131328 23.59 -1.23
4104 38.71 -25.33
4104 38.66 -25.27
131328 23.62 -1.13
4104 38.73 -25.42
131328 23.64 -1.13
131328 23.59 -1.26
4104 38.58 -25.34
131328 23.55 -1.17
4104 38.56 -25.47
131328 23.57 -1.22
4104 38.64 -25.4
4104 38.54 -25.37
131328 23.63 -1.11
131328 23.63 -1.15
4104 38.52 -25.53
4104 38.64 -25.29
131328 23.57 -1.11
4104 38.69 -25.31
131328 23.47 -1.12
131328 23.62 -1.08
4104 38.66 -25.31
131328 23.64 -0.99
4104 38.71 -25.23
131328 23.63 -1.09
4104 38.57 -25.32
131328 23.59 -1.01
4104 38.66 -25.48
4104 38.67 -25.45
131328 23.55 -1.09
131328 23.6 -0.99
4104 38.76 -25.35
131328 23.55 -0.97
4104 38.49 -25.49
131328 23.53 -1.11
4104 38.59 -25.29
4104 38.72 -25.39
131328 23.55 -1.15
131328 23.6 -1.11
4104 38.54 -25.37
4104 38.55 -25.53
131328 23.62 -1.07
131328 23.67 -1.2
4104 38.62 -25.37
4104 38.5 -25.51
131328 23.56 -1.09
4104 38.71 -25.49
131328 23.7 -1.21
131328 23.68 -1.07
4104 38.65 -25.27
4104 38.72 -25.42
131328 23.63 -1.17
4104 39.02 -25.06
131328 24.35 -1.12
4104 38.9 -25.31
131328 23.98 -1.17
4104 38.85 -25.35
131328 23.93 -1.11
4104 38.83 -25.12
131328 23.9 -1.03
131328 23.84 -1.16
4104 38.8 -25.22
4104 38.85 -25.14
131328 23.96 -1.14
131328 23.94 -1.17
4104 38.88 -25.26
4104 38.84 -25.2
131328 23.82 -1.17
4104 38.88 -25.19
131328 23.88 -1.19
131328 23.92 -1.04
4104 38.74 -25.25
131328 23.87 -1.08
4104 38.71 -25.2
4104 38.75 -25.15
131328 23.96 -1.08
131328 23.88 -1.12
4104 38.77 -25.41
4104 38.71 -25.33
131328 23.92 -1.09
4104 38.9 -25.14
131328 23.84 -1.15
131328 23.82 -1.13
4104 38.64 -25.35
4104 38.79 -25.24
131328 23.95 -1.18
4104 38.89 -25.25
131328 23.84 -1.13
131328 23.86 -1.03
4104 38.79 -25.33
4104 38.84 -25.11
131328 23.91 -1.14
131328 23.88 -1.08
131328 23.99 -1.02
4104 38.93 -25.22
131328 24.04 -1.08
4104 38.89 -25.23
4104 38.86 -25.19
131328 23.86 -1.09
4104 38.87 -25.24
4104 38.81 -25.18
131328 23.92 -1.1
131328 23.84 -1.21
131328 23.92 -1.18
4104 38.87 -25.19
131328 23.79 -1.21
4104 38.83 -25.11
131328 23.88 -1.05
4104 38.85 -25.09
131328 23.92 -1.11
4104 38.93 -25.33
4104 38.8 -25.25
131328 23.89 -1.13
4104 38.89 -25.39
131328 23.92 -1.19
4104 38.83 -25.11
131328 23.9 -1.15
131328 23.86 -1.0
4104 38.93 -25.11
131328 23.91 -1.19
4104 38.9 -25.22
131328 24.06 -1.07
4104 38.79 -25.37
4104 38.87 -25.13
131328 24.05 -1.05
4104 38.75 -25.41
4104 38.76 -25.37
131328 23.89 -1.21
131328 23.91 -1.09
4104 38.73 -25.35
4104 38.77 -25.17
131328 23.92 -1.11
131328 23.95 -1.06
131328 23.92 -1.05
4104 38.82 -25.17
131328 23.96 -1.09
4104 38.8 -25.37
131328 23.88 -1.01
4104 38.83 -25.15
131328 23.86 -1.21
4104 38.89 -25.23
131328 23.87 -1.21
4104 38.82 -25.19
131328 23.86 -1.16
4104 38.85 -25.07
131328 23.93 -1.24
4104 38.91 -25.17
4104 38.85 -25.23
4104 38.89 -25.28
131328 23.89 -1.17
131328 23.92 -1.13
131328 23.91 -1.22
4104 38.85 -25.13
4104 38.75 -25.39
131328 23.94 -1.14
4104 38.79 -25.41
131328 23.91 -1.13
4104 38.81 -25.11
131328 23.96 -1.13
4104 38.85 -25.2
131328 23.93 -1.1
4104 38.88 -25.15
131328 23.92 -1.16
131328 23.96 -1.11
4104 38.79 -25.15
131328 23.97 -1.13
4104 38.83 -25.15
4104 38.75 -25.38
131328 23.92 -1.13
4104 38.87 -25.23
131328 23.88 -1.1
4104 38.77 -25.33
131328 23.89 -1.21
131328 23.82 -1.23
4104 38.86 -25.13
4104 38.85 -25.23
131328 23.83 -1.26
131328 23.88 -1.17
4104 38.85 -25.25
4104 38.81 -25.3
131328 23.95 -1.03
131328 23.9 -1.1
4104 38.88 -25.23
131328 23.9 -1.03
131328 23.8 -1.28
4104 38.9 -25.11
131328 23.89 -1.17
4104 38.87 -25.08
4104 38.77 -25.22
131328 23.9 -1.03
4104 38.85 -25.41
131328 24.0 -1.13
4104 38.83 -25.06
131328 23.9 -1.09
131328 23.87 -1.21
4104 38.91 -25.33
4104 38.81 -25.23
131328 23.96 -0.99
131328 23.86 -1.21
4104 38.8 -25.16
131328 23.85 -1.14
