T frq I Q
27.0 4104 35.94 -27.72
58.0 131328 19.1 -5.01
89.0 4104 37.51 -26.35
120.0 131328 19.17 -5.09
152.0 4104 37.66 -26.39
214.0 4104 37.64 -26.29
183.0 131328 19.07 -5.03
276.0 4104 37.58 -26.15
245.0 131328 19.01 -5.04
307.0 131328 19.09 -5.14
339.0 4104 37.65 -26.38
370.0 131328 19.11 -5.11
401.0 4104 37.59 -26.27
463.0 4104 37.59 -26.39
432.0 131328 19.01 -5.13
495.0 131328 19.21 -5.03
526.0 4104 37.52 -26.23
588.0 4104 37.63 -26.31
557.0 131328 19.09 -4.87
619.0 131328 19.25 -4.93
651.0 4104 37.68 -26.35
682.0 131328 19.14 -5.03
713.0 4104 37.59 -26.13
775.0 4104 37.56 -26.28
744.0 131328 19.24 -5.05
807.0 131328 19.21 -4.75
869.0 131328 19.17 -5.07
900.0 4104 37.56 -26.23
931.0 131328 19.13 -4.77
962.0 4104 37.57 -26.16
994.0 131328 19.17 -5.09
1025.0 4104 37.48 -26.24
1087.0 4104 37.53 -26.18
1150.0 4104 37.63 -26.45
1056.0 131328 19.22 -5.03
1118.0 131328 19.18 -5.03
1212.0 4104 37.54 -26.11
1181.0 131328 18.96 -5.06
1243.0 131328 19.2 -5.07
1274.0 4104 37.56 -26.18
1306.0 131328 19.25 -4.97
1337.0 4104 37.58 -26.25
1399.0 4104 37.66 -26.41
1368.0 131328 19.14 -4.92
1430.0 131328 19.29 -5.02
1461.0 4104 37.63 -26.25
1493.0 131328 19.12 -5.06
1524.0 4104 37.6 -26.38
1586.0 4104 37.54 -26.19
1555.0 131328 19.17 -4.91
1617.0 131328 19.12 -4.9
1649.0 4104 37.55 -26.43
1711.0 4104 37.64 -26.44
1680.0 131328 19.23 -4.95
1742.0 131328 19.22 -4.93
1773.0 4104 37.52 -26.2
1836.0 4104 37.58 -26.38
1898.0 4104 37.55 -26.27
1805.0 131328 19.21 -4.9
1867.0 131328 19.21 -4.95
1929.0 131328 19.12 -4.97
1961.0 4104 37.56 -26.19
2023.0 4104 37.56 -26.27
1992.0 131328 19.17 -4.85
2054.0 131328 19.18 -4.97
2085.0 4104 37.54 -26.17
2148.0 4104 37.57 -26.41
2116.0 131328 19.22 -4.97
2179.0 131328 19.14 -4.99
2210.0 4104 37.54 -26.27
2272.0 4104 37.63 -26.43
2241.0 131328 19.17 -5.06
2335.0 4104 37.55 -26.12
2304.0 131328 19.04 -5.07
2366.0 131328 19.2 -4.88
2397.0 4104 37.6 -26.35
2460.0 4104 37.6 -26.24
2428.0 131328 19.19 -4.93
2491.0 131328 19.16 -4.98
2522.0 4104 37.67 -26.45
2584.0 4104 37.62 -26.2
2553.0 131328 19.12 -4.87
