frq I Q
4104.00 -14280.00 13015.00
131328.00 264.00 -1041.00
4104.00 -14142.00 13430.00
131328.00 328.00 -1097.00
4104.00 -14190.00 13463.00
131328.00 356.00 -1162.00
4104.00 -14138.00 13425.00
131328.00 278.00 -1096.00
4104.00 -14138.00 13426.00
131328.00 393.00 -1163.00
4104.00 -14146.00 13429.00
131328.00 367.00 -1138.00
4104.00 -14069.00 13374.00
131328.00 377.00 -1137.00
4104.00 -14119.00 13407.00
131328.00 337.00 -1111.00
4104.00 -14195.00 13456.00
131328.00 381.00 -1176.00
4104.00 -14180.00 13318.00
131328.00 359.00 -1130.00
4104.00 -14092.00 13297.00
131328.00 395.00 -1154.00
4104.00 -14048.00 13330.00
131328.00 325.00 -1096.00
4104.00 -14204.00 13333.00
131328.00 280.00 -1056.00
4104.00 -14174.00 13454.00
131328.00 314.00 -1098.00
4104.00 -14121.00 13411.00
131328.00 309.00 -1096.00
4104.00 -14041.00 13326.00
131328.00 292.00 -1101.00
4104.00 -14212.00 13369.00
131328.00 393.00 -1159.00
4104.00 -14053.00 13340.00
131328.00 259.00 -1056.00
4104.00 -14203.00 13369.00
131328.00 316.00 -1101.00
4104.00 -14035.00 13289.00
131328.00 332.00 -1111.00
4104.00 -14027.00 13301.00
131328.00 132.00 -895.00
4104.00 -14195.00 13467.00
131328.00 258.00 -1047.00
4104.00 -14158.00 13434.00
131328.00 344.00 -1140.00
4104.00 -14193.00 13451.00
131328.00 418.00 -1176.00
4104.00 -14044.00 13328.00
131328.00 294.00 -1074.00
4104.00 -14086.00 13366.00
131328.00 312.00 -1087.00
4104.00 -14199.00 13348.00
131328.00 370.00 -1144.00
4104.00 -14087.00 13388.00
131328.00 297.00 -1079.00
4104.00 -14019.00 13292.00
131328.00 346.00 -1110.00
4104.00 -14196.00 13309.00
131328.00 390.00 -1151.00
4104.00 -14045.00 13229.00
131328.00 357.00 -1142.00
4104.00 -14191.00 13334.00
131328.00 377.00 -1166.00
4104.00 -14137.00 13430.00
131328.00 379.00 -1153.00
4104.00 -14144.00 13420.00
131328.00 353.00 -1105.00
4104.00 -14188.00 13371.00
131328.00 308.00 -1116.00
4104.00 -14192.00 13455.00
131328.00 393.00 -1181.00
4104.00 -14056.00 13295.00
131328.00 332.00 -1088.00
4104.00 -14091.00 13317.00
131328.00 344.00 -1110.00
4104.00 -14063.00 13351.00
131328.00 319.00 -1096.00
4104.00 -14179.00 13463.00
131328.00 382.00 -1168.00
4104.00 -13959.00 13262.00
131328.00 340.00 -1140.00
4104.00 -14036.00 13322.00
131328.00 248.00 -1041.00
4104.00 -14079.00 13376.00
131328.00 296.00 -1070.00
4104.00 -14150.00 13435.00
131328.00 379.00 -1147.00
4104.00 -14071.00 13362.00
131328.00 312.00 -1099.00
4104.00 -14187.00 13445.00
131328.00 406.00 -1173.00
4104.00 -14165.00 13301.00
131328.00 356.00 -1117.00
4104.00 -14202.00 13407.00
131328.00 409.00 -1175.00
4104.00 -14176.00 13412.00
131328.00 329.00 -1136.00
4104.00 -14158.00 13448.00
131328.00 412.00 -1157.00
4104.00 -13896.00 13180.00
131328.00 328.00 -1124.00
4104.00 -14054.00 13354.00
131328.00 248.00 -1050.00
4104.00 -14199.00 13457.00
131328.00 365.00 -1128.00
4104.00 -14108.00 13407.00
131328.00 308.00 -1107.00
4104.00 -14079.00 13378.00
131328.00 287.00 -1089.00
4104.00 -14163.00 13450.00
131328.00 374.00 -1158.00
4104.00 -14109.00 13408.00
131328.00 364.00 -1124.00
4104.00 -14159.00 13442.00
131328.00 318.00 -1123.00
4104.00 -14183.00 13286.00
131328.00 346.00 -1130.00
4104.00 -14182.00 13455.00
131328.00 151.00 -957.00
4104.00 -14169.00 13476.00
131328.00 279.00 -1089.00
4104.00 -14182.00 13457.00
131328.00 388.00 -1163.00
4104.00 -14167.00 13445.00
131328.00 369.00 -1171.00
4104.00 -14026.00 13296.00
131328.00 296.00 -1083.00
4104.00 -14195.00 13454.00
131328.00 356.00 -1099.00
4104.00 -14188.00 13460.00
131328.00 343.00 -1077.00
4104.00 -14180.00 13454.00
131328.00 325.00 -1090.00
4104.00 -14092.00 13393.00
131328.00 323.00 -1081.00
4104.00 -14135.00 13426.00
131328.00 383.00 -1153.00
4104.00 -14164.00 13276.00
131328.00 232.00 -1022.00
4104.00 -14196.00 13456.00
131328.00 363.00 -1123.00
4104.00 -14123.00 13406.00
131328.00 285.00 -1046.00
4104.00 -14072.00 13299.00
131328.00 302.00 -1091.00
4104.00 -14030.00 13299.00
131328.00 308.00 -1088.00
4104.00 -14028.00 13324.00
131328.00 301.00 -1104.00
4104.00 -14204.00 13316.00
131328.00 336.00 -1100.00
4104.00 -14043.00 13338.00
131328.00 271.00 -1040.00
4104.00 -14191.00 13295.00
131328.00 326.00 -1127.00
4104.00 -14060.00 13346.00
131328.00 293.00 -1083.00
4104.00 -14161.00 13436.00
131328.00 248.00 -1008.00
4104.00 -14128.00 13303.00
131328.00 300.00 -1089.00
4104.00 -14093.00 13392.00
131328.00 273.00 -1083.00
4104.00 -14022.00 13312.00
131328.00 318.00 -1090.00
4104.00 -14215.00 13344.00
131328.00 396.00 -1134.00
4104.00 -14129.00 13420.00
131328.00 257.00 -1049.00
4104.00 -14083.00 13384.00
131328.00 269.00 -1063.00
4104.00 -14156.00 13436.00
131328.00 366.00 -1135.00
4104.00 -14206.00 13369.00
131328.00 396.00 -1190.00
4104.00 -14186.00 13457.00
131328.00 362.00 -1148.00
4104.00 -13931.00 13225.00
131328.00 293.00 -1084.00
4104.00 -14168.00 13451.00
131328.00 363.00 -1117.00
4104.00 -14182.00 13277.00
131328.00 344.00 -1110.00
4104.00 -14081.00 13376.00
131328.00 291.00 -1081.00
4104.00 -14210.00 13354.00
131328.00 352.00 -1125.00
4104.00 -14023.00 13310.00
131328.00 293.00 -1079.00
4104.00 -14022.00 13311.00
131328.00 333.00 -1126.00
4104.00 -14126.00 13416.00
131328.00 356.00 -1154.00
4104.00 -14187.00 13456.00
131328.00 381.00 -1155.00
4104.00 -14127.00 13424.00
131328.00 364.00 -1130.00
4104.00 -14095.00 13210.00
131328.00 376.00 -1143.00
4104.00 -14204.00 13328.00
131328.00 340.00 -1093.00
4104.00 -14075.00 13355.00
131328.00 312.00 -1109.00
4104.00 -14148.00 13440.00
131328.00 341.00 -1136.00
4104.00 -14031.00 13296.00
131328.00 283.00 -1035.00
4104.00 -14045.00 13342.00
131328.00 319.00 -1081.00
4104.00 -14214.00 13323.00
131328.00 367.00 -1170.00
4104.00 -14168.00 13452.00
131328.00 383.00 -1178.00
4104.00 -14160.00 13426.00
131328.00 374.00 -1155.00
4104.00 -14203.00 13314.00
131328.00 370.00 -1124.00
4104.00 -14056.00 13321.00
131328.00 350.00 -1154.00
4104.00 -14145.00 13432.00
131328.00 360.00 -1166.00
4104.00 -14064.00 13362.00
131328.00 280.00 -1076.00
4104.00 -14195.00 13462.00
131328.00 378.00 -1141.00
4104.00 -14182.00 13453.00
131328.00 341.00 -1149.00
4104.00 -14035.00 13303.00
131328.00 336.00 -1113.00
4104.00 -14057.00 13348.00
131328.00 294.00 -1103.00
4104.00 -14196.00 13297.00
131328.00 368.00 -1132.00
4104.00 -14060.00 13352.00
131328.00 310.00 -1071.00
4104.00 -14111.00 13408.00
131328.00 363.00 -1155.00
4104.00 -14013.00 13295.00
131328.00 314.00 -1116.00
4104.00 -14198.00 13297.00
131328.00 357.00 -1094.00
4104.00 -14169.00 13309.00
131328.00 367.00 -1128.00
4104.00 -14142.00 13432.00
131328.00 339.00 -1158.00
4104.00 -14162.00 13445.00
131328.00 319.00 -1122.00
4104.00 -14065.00 13282.00
131328.00 285.00 -1053.00
4104.00 -14206.00 13444.00
131328.00 392.00 -1163.00
4104.00 -14056.00 13340.00
131328.00 235.00 -1047.00
4104.00 -14035.00 13323.00
131328.00 289.00 -1101.00
4104.00 -14187.00 13456.00
131328.00 276.00 -1038.00
