frq I Q Mdiv Clk DAC Kdiv
4104.00 -14321.00 13108.00 1082130432 32768 128 32
131328.00 -1887.00 1133.00 1082130432 32768 128 1
4104.00 -11932.00 11088.00 1082130432 32768 128 32
131328.00 -2096.00 1300.00 1082130432 32768 128 1
4104.00 -11854.00 11180.00 1082130432 32768 128 32
131328.00 -2094.00 1338.00 1082130432 32768 128 1
4104.00 -11739.00 10908.00 1082130432 32768 128 32
131328.00 -1921.00 1125.00 1082130432 32768 128 1
4104.00 -11900.00 11207.00 1082130432 32768 128 32
131328.00 -1929.00 1155.00 1082130432 32768 128 1
4104.00 -11866.00 11203.00 1082130432 32768 128 32
131328.00 -2042.00 1268.00 1082130432 32768 128 1
4104.00 -11920.00 11082.00 1082130432 32768 128 32
131328.00 -1884.00 1111.00 1082130432 32768 128 1
4104.00 -11960.00 11101.00 1082130432 32768 128 32
131328.00 -2057.00 1249.00 1082130432 32768 128 1
4104.00 -11797.00 11093.00 1082130432 32768 128 32
131328.00 -1994.00 1236.00 1082130432 32768 128 1
4104.00 -11987.00 11156.00 1082130432 32768 128 32
131328.00 -1982.00 1182.00 1082130432 32768 128 1
4104.00 -11735.00 10931.00 1082130432 32768 128 32
131328.00 -1900.00 1102.00 1082130432 32768 128 1
4104.00 -11877.00 11177.00 1082130432 32768 128 32
131328.00 -1915.00 1143.00 1082130432 32768 128 1
4104.00 -11900.00 11129.00 1082130432 32768 128 32
131328.00 -1904.00 1114.00 1082130432 32768 128 1
4104.00 -11955.00 11108.00 1082130432 32768 128 32
131328.00 -1967.00 1178.00 1082130432 32768 128 1
4104.00 -11996.00 11158.00 1082130432 32768 128 32
131328.00 -1940.00 1150.00 1082130432 32768 128 1
4104.00 -11937.00 11097.00 1082130432 32768 128 32
131328.00 -1983.00 1202.00 1082130432 32768 128 1
4104.00 -12027.00 11194.00 1082130432 32768 128 32
131328.00 -1970.00 1168.00 1082130432 32768 128 1
4104.00 -11907.00 11170.00 1082130432 32768 128 32
131328.00 -1909.00 1113.00 1082130432 32768 128 1
4104.00 -11820.00 11161.00 1082130432 32768 128 32
131328.00 -1903.00 1147.00 1082130432 32768 128 1
4104.00 -12009.00 11176.00 1082130432 32768 128 32
131328.00 -1999.00 1214.00 1082130432 32768 128 1
4104.00 -11663.00 10828.00 1082130432 32768 128 32
131328.00 -1935.00 1157.00 1082130432 32768 128 1
4104.00 -11833.00 11160.00 1082130432 32768 128 32
131328.00 -1923.00 1124.00 1082130432 32768 128 1
4104.00 -11896.00 11083.00 1082130432 32768 128 32
131328.00 -2041.00 1253.00 1082130432 32768 128 1
4104.00 -11740.00 11052.00 1082130432 32768 128 32
131328.00 -1978.00 1229.00 1082130432 32768 128 1
4104.00 -11800.00 11107.00 1082130432 32768 128 32
131328.00 -1972.00 1197.00 1082130432 32768 128 1
4104.00 -12001.00 11179.00 1082130432 32768 128 32
131328.00 -1908.00 1132.00 1082130432 32768 128 1
4104.00 -12009.00 11212.00 1082130432 32768 128 32
131328.00 -1940.00 1171.00 1082130432 32768 128 1
4104.00 -11959.00 11119.00 1082130432 32768 128 32
131328.00 -1993.00 1188.00 1082130432 32768 128 1
4104.00 -11704.00 11029.00 1082130432 32768 128 32
131328.00 -1934.00 1181.00 1082130432 32768 128 1
4104.00 -11991.00 11170.00 1082130432 32768 128 32
131328.00 -2311.00 1520.00 1082130432 32768 128 1
4104.00 -11984.00 11142.00 1082130432 32768 128 32
131328.00 -1956.00 1159.00 1082130432 32768 128 1
4104.00 -11788.00 11107.00 1082130432 32768 128 32
131328.00 -1962.00 1214.00 1082130432 32768 128 1
4104.00 -12009.00 11164.00 1082130432 32768 128 32
131328.00 -1893.00 1128.00 1082130432 32768 128 1
4104.00 -11956.00 11104.00 1082130432 32768 128 32
