frq I Q
131328.00 -108.00 877.00
4104.00 -1919.00 -235.00
131328.00 80.00 1891.00
4104.00 -1236.00 -34.00
131328.00 22.00 2654.00
4104.00 -1460.00 109.00
131328.00 1256.00 863.00
4104.00 -1437.00 -665.00
131328.00 1035.00 1133.00
4104.00 -635.00 -160.00
131328.00 -1251.00 2621.00
4104.00 -1492.00 127.00
131328.00 31.00 928.00
4104.00 -1321.00 -80.00
131328.00 886.00 1517.00
4104.00 -1202.00 277.00
131328.00 321.00 1598.00
4104.00 -508.00 -127.00
131328.00 275.00 1988.00
4104.00 -1025.00 1525.00
131328.00 771.00 2407.00
4104.00 -348.00 -290.00
131328.00 540.00 1229.00
4104.00 -736.00 38.00
131328.00 -1571.00 1591.00
4104.00 -830.00 31.00
131328.00 -419.00 2175.00
4104.00 -1325.00 764.00
131328.00 1082.00 1665.00
4104.00 -1107.00 -465.00
131328.00 659.00 1583.00
4104.00 -1257.00 79.00
131328.00 -1020.00 2578.00
4104.00 -1578.00 -376.00
131328.00 312.00 1875.00
4104.00 -1191.00 56.00
131328.00 1923.00 3176.00
4104.00 -463.00 -650.00
131328.00 -1736.00 1356.00
4104.00 -769.00 -706.00
131328.00 1627.00 3130.00
4104.00 -756.00 -670.00
131328.00 -304.00 626.00
4104.00 -701.00 122.00
131328.00 -1335.00 2659.00
4104.00 -930.00 381.00
131328.00 -1393.00 519.00
4104.00 -962.00 287.00
131328.00 1005.00 2124.00
4104.00 -813.00 -97.00
131328.00 1241.00 1564.00
4104.00 -1091.00 14.00
131328.00 -360.00 1373.00
4104.00 -708.00 130.00
131328.00 247.00 1142.00
4104.00 -878.00 -177.00
131328.00 -1542.00 -301.00
4104.00 -311.00 217.00
131328.00 821.00 1933.00
4104.00 -600.00 -641.00
131328.00 -669.00 1658.00
4104.00 -1478.00 -162.00
131328.00 783.00 855.00
4104.00 -1440.00 383.00
131328.00 207.00 2321.00
4104.00 -914.00 -186.00
131328.00 -7.00 1267.00
4104.00 -301.00 -735.00
131328.00 -107.00 1132.00
4104.00 -806.00 -229.00
131328.00 -606.00 1644.00
4104.00 -1415.00 189.00
131328.00 91.00 828.00
4104.00 -1024.00 365.00
131328.00 -1329.00 1335.00
4104.00 -406.00 259.00
131328.00 1289.00 1135.00
4104.00 -859.00 -192.00
131328.00 507.00 2166.00
4104.00 -1081.00 92.00
131328.00 -657.00 1466.00
4104.00 -1442.00 -225.00
131328.00 623.00 2648.00
4104.00 -390.00 54.00
131328.00 -332.00 183.00
4104.00 122.00 -748.00
131328.00 704.00 2714.00
4104.00 -727.00 677.00
131328.00 293.00 1698.00
4104.00 -765.00 -1352.00
131328.00 -1021.00 662.00
4104.00 -1114.00 358.00
131328.00 -1391.00 1236.00
4104.00 -343.00 -223.00
131328.00 263.00 2937.00
4104.00 -1154.00 -591.00
131328.00 250.00 973.00
4104.00 -496.00 -429.00
131328.00 2757.00 787.00
4104.00 27.00 1.00
131328.00 -1637.00 2344.00
4104.00 -977.00 940.00
131328.00 753.00 -4.00
4104.00 -872.00 -575.00
131328.00 330.00 734.00
4104.00 -278.00 -307.00
131328.00 -287.00 878.00
4104.00 -335.00 127.00
131328.00 -481.00 782.00
4104.00 -562.00 -164.00
131328.00 -223.00 1099.00
4104.00 -1296.00 -313.00
131328.00 -330.00 3338.00
4104.00 -88.00 -543.00
4104.00 -581.00 87.00
131328.00 -766.00 1943.00
4104.00 -1304.00 -780.00
131328.00 -149.00 1542.00
4104.00 -1197.00 -591.00
131328.00 211.00 72.00
4104.00 -679.00 314.00
131328.00 -222.00 540.00
4104.00 -889.00 982.00
131328.00 865.00 1059.00
4104.00 -1181.00 -64.00
131328.00 -515.00 1494.00
4104.00 173.00 -19.00
131328.00 -155.00 769.00
4104.00 -131.00 49.00
131328.00 507.00 -292.00
4104.00 -741.00 930.00
131328.00 25.00 1240.00
4104.00 -1306.00 -264.00
131328.00 380.00 1084.00
4104.00 -145.00 -479.00
131328.00 -273.00 1441.00
4104.00 -1421.00 460.00
131328.00 817.00 502.00
4104.00 -1239.00 566.00
131328.00 298.00 1387.00
4104.00 -885.00 266.00
131328.00 595.00 1050.00
4104.00 -1602.00 804.00
131328.00 661.00 122.00
4104.00 -836.00 132.00
131328.00 -1091.00 844.00
4104.00 79.00 -96.00
131328.00 558.00 86.00
4104.00 -434.00 -453.00
131328.00 142.00 1499.00
4104.00 -258.00 -154.00
131328.00 572.00 1599.00
4104.00 -1003.00 -417.00
131328.00 -226.00 1002.00
4104.00 -956.00 -243.00
131328.00 -426.00 1913.00
4104.00 -906.00 303.00
131328.00 686.00 901.00
4104.00 -1420.00 -114.00
131328.00 -222.00 1932.00
4104.00 -1048.00 1017.00
131328.00 241.00 71.00
4104.00 -892.00 592.00
131328.00 313.00 2169.00
4104.00 -1265.00 42.00
131328.00 -1.00 806.00
4104.00 -804.00 256.00
131328.00 390.00 458.00
4104.00 -1259.00 740.00
131328.00 246.00 1429.00
4104.00 -1180.00 321.00
131328.00 1246.00 -376.00
4104.00 -789.00 -650.00
131328.00 -111.00 1980.00
4104.00 -829.00 -180.00
131328.00 1450.00 1169.00
4104.00 -1507.00 579.00
131328.00 388.00 1434.00
4104.00 -1366.00 853.00
131328.00 1280.00 1139.00
4104.00 -847.00 -210.00
131328.00 1267.00 512.00
4104.00 -819.00 334.00
131328.00 398.00 1448.00
4104.00 -4.00 -60.00
131328.00 -1294.00 339.00
4104.00 -1023.00 -375.00
131328.00 1291.00 636.00
4104.00 -765.00 76.00
131328.00 305.00 1103.00
4104.00 -937.00 230.00
131328.00 316.00 1769.00
4104.00 -1216.00 553.00
131328.00 -100.00 753.00
4104.00 -1610.00 361.00
131328.00 220.00 809.00
4104.00 -1116.00 903.00
131328.00 161.00 1266.00
4104.00 -379.00 199.00
131328.00 -167.00 962.00
4104.00 -1141.00 435.00
131328.00 221.00 842.00
4104.00 -886.00 93.00
131328.00 60.00 242.00
4104.00 -496.00 -128.00
131328.00 206.00 -31.00
4104.00 -1191.00 -1257.00
131328.00 -72.00 1765.00
4104.00 -915.00 -277.00
131328.00 -14.00 1792.00
4104.00 -1192.00 1570.00
131328.00 223.00 2245.00
4104.00 -397.00 183.00
131328.00 935.00 1203.00
4104.00 -757.00 783.00
131328.00 -233.00 1129.00
4104.00 -880.00 -416.00
131328.00 -258.00 1805.00
4104.00 -461.00 2.00
131328.00 -1988.00 949.00
4104.00 -231.00 748.00
131328.00 -1654.00 1131.00
4104.00 -781.00 -111.00
131328.00 -125.00 1627.00
4104.00 -348.00 766.00
131328.00 -525.00 322.00
4104.00 -153.00 86.00
131328.00 54.00 1001.00
4104.00 -2217.00 93.00
131328.00 171.00 996.00
4104.00 -1050.00 -428.00
131328.00 229.00 2633.00
4104.00 -1066.00 7.00
131328.00 -475.00 1.00
4104.00 -1676.00 -23.00
131328.00 338.00 1202.00
4104.00 -1818.00 597.00
131328.00 -459.00 1682.00
4104.00 0.00 -146.00
131328.00 -270.00 1142.00
4104.00 -167.00 -170.00
131328.00 -62.00 1405.00
4104.00 -1090.00 -505.00
131328.00 1906.00 1189.00
4104.00 -760.00 697.00
131328.00 2223.00 1798.00
4104.00 -1949.00 -425.00
131328.00 1312.00 327.00
4104.00 -791.00 1019.00
131328.00 217.00 1210.00
4104.00 -743.00 32.00
131328.00 -298.00 1525.00
4104.00 -1544.00 628.00
131328.00 817.00 1354.00
4104.00 -893.00 406.00
131328.00 -78.00 577.00
4104.00 -1124.00 141.00
131328.00 708.00 1380.00
4104.00 -1009.00 -11.00
131328.00 1357.00 2018.00
4104.00 -566.00 22.00
131328.00 -757.00 824.00
4104.00 -240.00 -107.00
131328.00 -518.00 1709.00
4104.00 -1516.00 130.00
131328.00 -301.00 1145.00
4104.00 -1601.00 -541.00
131328.00 230.00 1590.00
4104.00 -570.00 -151.00
131328.00 -1150.00 1713.00
4104.00 -143.00 167.00
131328.00 -928.00 2079.00
4104.00 -1280.00 154.00
131328.00 1345.00 -973.00
4104.00 -1345.00 185.00
131328.00 -377.00 2084.00
4104.00 -1475.00 126.00
131328.00 262.00 1432.00
4104.00 -803.00 -228.00
131328.00 338.00 3170.00
4104.00 -565.00 328.00
131328.00 -554.00 -1395.00
4104.00 -417.00 547.00
131328.00 -465.00 721.00
131328.00 -919.00 500.00
4104.00 -1249.00 484.00
131328.00 112.00 1787.00
4104.00 266.00 -50.00
131328.00 168.00 881.00
4104.00 34.00 -24.00
131328.00 613.00 1626.00
4104.00 -745.00 -1019.00
131328.00 -889.00 1115.00
4104.00 -51.00 -193.00
