frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
4104.0,6976.0,11525.0,1082130432,32768,128,32,7850.231292517006,11482.319727891156,245.05820792599113,18.565402241301413,245.76045131851387,4.332403830576672
4104.0,8220.0,5715.0,1082130432,32768,128,32,9094.231292517006,5672.319727891157,178.96369536463018,-62.49125948060352,189.56044357944586,-19.248384666242597
4104.0,7969.0,8378.0,1082130432,32768,128,32,8843.231292517006,8335.319727891156,212.80116618283517,-29.724253254276277,214.86709278132608,-7.951676623264694
4104.0,7986.0,6038.0,1082130432,32768,128,32,8860.231292517006,5995.319727891157,180.80826973598238,-55.720333883959654,189.19932878596504,-17.127916187930502
4104.0,5656.0,5301.0,1082130432,32768,128,32,6530.231292517006,5258.319727891157,144.80756537439137,-31.823650859299214,148.2631975362504,-12.394581118179035
4104.0,7318.0,6100.0,1082130432,32768,128,32,8192.231292517006,6057.319727891157,174.24560805020582,-45.86039823030757,180.17965492981816,-14.74549741368675
4104.0,7191.0,6361.0,1082130432,32768,128,32,8065.231292517006,6318.319727891157,176.42529327042962,-41.242092300978754,181.18166100055367,-13.157486065749664
4104.0,7226.0,7988.0,1082130432,32768,128,32,8100.231292517006,7945.319727891157,199.18966740035336,-23.810278861642303,200.60770917024243,-6.816547899820699
4104.0,6714.0,6168.0,1082130432,32768,128,32,7588.231292517006,6125.319727891157,168.47591474579986,-36.813670813583556,172.45109512034105,-12.325963163766756
4104.0,6244.0,4392.0,1082130432,32768,128,32,7118.231292517006,4349.319727891157,138.83352013638182,-49.90965751637558,147.53209897124435,-19.77314832771576
4104.0,5169.0,3556.0,1082130432,32768,128,32,6043.231292517006,3513.3197278911566,115.40279467306345,-44.3447841161366,123.62954702117129,-21.019816807242016
4104.0,5592.0,4122.0,1082130432,32768,128,32,6466.231292517006,4079.3197278911566,127.88253346423406,-43.92473430124244,135.2158446657258,-18.956428018513275
4104.0,3051.0,5607.0,1082130432,32768,128,32,3925.2312925170068,5564.319727891157,120.09833631485009,7.334168493755577,120.3220695179801,3.49460040304076
4104.0,5061.0,8840.0,1082130432,32768,128,32,5935.231292517006,8797.319727891156,186.87383429705255,15.313842749923666,187.5002499322378,4.684777657899221
4104.0,7302.0,5337.0,1082130432,32768,128,32,8176.231292517006,5294.319727891157,163.5745898447429,-54.04092661733344,172.27033462710833,-18.282254661760103
4104.0,6187.0,5054.0,1082130432,32768,128,32,7061.231292517006,5011.319727891157,147.30514436868773,-41.838188612738556,153.131445444347,-15.855816115455195
4104.0,6382.0,7674.0,1082130432,32768,128,32,7256.231292517006,7631.319727891157,185.50220213844312,-15.671981220167154,186.16304142760742,-4.829113133735689
4104.0,6895.0,7903.0,1082130432,32768,128,32,7769.231292517006,7860.319727891157,194.3463112877615,-20.198643281991096,195.39312654643874,-5.933515699668489
