frq I Q Mdiv Ref dac Kdiv
4104.00 6976.00 11525.00 1082130432 32768 128 32
131328.00 -314.00 -15070.00 1082130432 32768 128 1
4104.00 8220.00 5715.00 1082130432 32768 128 32
131328.00 562.00 -17520.00 1082130432 32768 128 1
4104.00 7969.00 8378.00 1082130432 32768 128 32
131328.00 266.00 -17412.00 1082130432 32768 128 1
4104.00 7986.00 6038.00 1082130432 32768 128 32
131328.00 -1068.00 -16488.00 1082130432 32768 128 1
4104.00 5656.00 5301.00 1082130432 32768 128 32
131328.00 -742.00 -16496.00 1082130432 32768 128 1
4104.00 7318.00 6100.00 1082130432 32768 128 32
131328.00 -51.00 -16241.00 1082130432 32768 128 1
4104.00 7191.00 6361.00 1082130432 32768 128 32
131328.00 -1059.00 -17177.00 1082130432 32768 128 1
4104.00 7226.00 7988.00 1082130432 32768 128 32
131328.00 -1087.00 -17944.00 1082130432 32768 128 1
4104.00 6714.00 6168.00 1082130432 32768 128 32
131328.00 -1171.00 -16562.00 1082130432 32768 128 1
4104.00 6244.00 4392.00 1082130432 32768 128 32
131328.00 -525.00 -17851.00 1082130432 32768 128 1
4104.00 5169.00 3556.00 1082130432 32768 128 32
131328.00 -1063.00 -16560.00 1082130432 32768 128 1
4104.00 5592.00 4122.00 1082130432 32768 128 32
131328.00 -835.00 -17289.00 1082130432 32768 128 1
4104.00 3051.00 5607.00 1082130432 32768 128 32
131328.00 -774.00 -16110.00 1082130432 32768 128 1
4104.00 5061.00 8840.00 1082130432 32768 128 32
131328.00 540.00 -16929.00 1082130432 32768 128 1
4104.00 7302.00 5337.00 1082130432 32768 128 32
131328.00 392.00 -17193.00 1082130432 32768 128 1
4104.00 6187.00 5054.00 1082130432 32768 128 32
131328.00 -810.00 -18005.00 1082130432 32768 128 1
4104.00 6382.00 7674.00 1082130432 32768 128 32
131328.00 -1163.00 -17590.00 1082130432 32768 128 1
4104.00 6895.00 7903.00 1082130432 32768 128 32
131328.00 273.00 -17477.00 1082130432 32768 128 1
4104.00 5210.00 7712.00 1082130432 32768 128 32
131328.00 -221.00 -16769.00 1082130432 32768 128 1
4104.00 5680.00 4510.00 1082130432 32768 128 32
131328.00 -582.00 -15811.00 1082130432 32768 128 1
4104.00 6932.00 5594.00 1082130432 32768 128 32
131328.00 -570.00 -17517.00 1082130432 32768 128 1
4104.00 6279.00 8115.00 1082130432 32768 128 32
131328.00 70.00 -16725.00 1082130432 32768 128 1
4104.00 6759.00 8123.00 1082130432 32768 128 32
131328.00 505.00 -17629.00 1082130432 32768 128 1
4104.00 5262.00 7804.00 1082130432 32768 128 32
131328.00 340.00 -16718.00 1082130432 32768 128 1
4104.00 4251.00 4020.00 1082130432 32768 128 32
131328.00 -755.00 -16664.00 1082130432 32768 128 1
4104.00 5705.00 4413.00 1082130432 32768 128 32
131328.00 -574.00 -17681.00 1082130432 32768 128 1
4104.00 7518.00 6981.00 1082130432 32768 128 32
131328.00 -1207.00 -17269.00 1082130432 32768 128 1
4104.00 3562.00 5700.00 1082130432 32768 128 32
131328.00 -749.00 -16571.00 1082130432 32768 128 1
4104.00 6730.00 6997.00 1082130432 32768 128 32
131328.00 44.00 -17442.00 1082130432 32768 128 1
4104.00 4166.00 4076.00 1082130432 32768 128 32
131328.00 -1073.00 -16334.00 1082130432 32768 128 1
4104.00 7143.00 5224.00 1082130432 32768 128 32
131328.00 630.00 -17272.00 1082130432 32768 128 1
4104.00 7260.00 5773.00 1082130432 32768 128 32
131328.00 -346.00 -16374.00 1082130432 32768 128 1
4104.00 7475.00 6553.00 1082130432 32768 128 32
131328.00 -1244.00 -16692.00 1082130432 32768 128 1
4104.00 7963.00 7178.00 1082130432 32768 128 32
131328.00 -943.00 -17626.00 1082130432 32768 128 1
4104.00 3617.00 6649.00 1082130432 32768 128 32
131328.00 -965.00 -15919.00 1082130432 32768 128 1
4104.00 5680.00 9023.00 1082130432 32768 128 32
131328.00 508.00 -17091.00 1082130432 32768 128 1
4104.00 8245.00 6068.00 1082130432 32768 128 32
131328.00 -823.00 -17380.00 1082130432 32768 128 1
4104.00 6162.00 5847.00 1082130432 32768 128 32
131328.00 432.00 -16423.00 1082130432 32768 128 1
4104.00 6155.00 4612.00 1082130432 32768 128 32
131328.00 -670.00 -17941.00 1082130432 32768 128 1
4104.00 7430.00 5474.00 1082130432 32768 128 32
131328.00 -1171.00 -17027.00 1082130432 32768 128 1
4104.00 5455.00 3788.00 1082130432 32768 128 32
131328.00 -1008.00 -17110.00 1082130432 32768 128 1
4104.00 7640.00 6875.00 1082130432 32768 128 32
131328.00 -1070.00 -17244.00 1082130432 32768 128 1
4104.00 5625.00 8178.00 1082130432 32768 128 32
131328.00 268.00 -17040.00 1082130432 32768 128 1
4104.00 6275.00 4900.00 1082130432 32768 128 32
131328.00 -835.00 -17337.00 1082130432 32768 128 1
4104.00 6804.00 6621.00 1082130432 32768 128 32
131328.00 -425.00 -17604.00 1082130432 32768 128 1
4104.00 4971.00 4020.00 1082130432 32768 128 32
131328.00 -1408.00 -16470.00 1082130432 32768 128 1
4104.00 6837.00 4942.00 1082130432 32768 128 32
131328.00 1013.00 -16920.00 1082130432 32768 128 1
4104.00 3865.00 7193.00 1082130432 32768 128 32
131328.00 -517.00 -16293.00 1082130432 32768 128 1
4104.00 7280.00 5621.00 1082130432 32768 128 32
131328.00 -91.00 -16300.00 1082130432 32768 128 1
4104.00 5348.00 4782.00 1082130432 32768 128 32
131328.00 -457.00 -16555.00 1082130432 32768 128 1
4104.00 6021.00 4338.00 1082130432 32768 128 32
131328.00 -1092.00 -16731.00 1082130432 32768 128 1
4104.00 6639.00 5582.00 1082130432 32768 128 32
131328.00 -361.00 -16316.00 1082130432 32768 128 1
4104.00 4653.00 7458.00 1082130432 32768 128 32
131328.00 -420.00 -16486.00 1082130432 32768 128 1
4104.00 5638.00 6716.00 1082130432 32768 128 32
131328.00 7.00 -17875.00 1082130432 32768 128 1
4104.00 3766.00 7330.00 1082130432 32768 128 32
131328.00 -703.00 -16088.00 1082130432 32768 128 1
4104.00 5131.00 4187.00 1082130432 32768 128 32
131328.00 -1442.00 -16299.00 1082130432 32768 128 1
4104.00 7316.00 4916.00 1082130432 32768 128 32
131328.00 -759.00 -16252.00 1082130432 32768 128 1
4104.00 6425.00 6942.00 1082130432 32768 128 32
131328.00 289.00 -17150.00 1082130432 32768 128 1
4104.00 7479.00 4944.00 1082130432 32768 128 32
131328.00 -336.00 -16173.00 1082130432 32768 128 1
4104.00 6234.00 4710.00 1082130432 32768 128 32
131328.00 -887.00 -17460.00 1082130432 32768 128 1
4104.00 2971.00 7419.00 1082130432 32768 128 32
131328.00 -733.00 -16023.00 1082130432 32768 128 1
4104.00 6002.00 5823.00 1082130432 32768 128 32
131328.00 -947.00 -16452.00 1082130432 32768 128 1
4104.00 7588.00 7507.00 1082130432 32768 128 32
131328.00 -1137.00 -17392.00 1082130432 32768 128 1
