CLK_FREQ_SEL, MDIV_MSB, MDIV_LSB, NDIV, KDIV, BIOZ_DAC_OSR, BIOZ_ADC_OSR, I_COEF, Q_COEF, I_PHASE_COEF, Q_PHASE_COEF, I_OFFSET, Q_OFFSET
1, 1, 255, 0, 5, 2, 7, 0.899989404, 0.901602831, -22.45789018, -22.56950347, -488.71875, -258.53125
1, 2, 0, 0, 5, 2, 7, 0.900225601, 0.900791984, -22.3761466, -22.36629735, -489.203125, -256.875
1, 2, 8, 0, 5, 2, 7, 0.901991229, 0.902376515, -22.25105852, -22.22583496, -485.125, -254.140625
1, 2, 16, 0, 5, 2, 7, 0.90046126, 0.900851693, -21.76794448, -21.75596001, -484.8125, -253.234375
1, 2, 24, 0, 5, 2, 7, 0.904715303, 0.90535467, -21.55063773, -21.5631822, -485.765625, -253.421875
1, 2, 32, 0, 5, 2, 7, 0.903554677, 0.905933416, -21.33381118, -21.21328708, -483.59375, -252.640625
1, 2, 40, 0, 5, 2, 7, 0.906190627, 0.905808503, -20.96345076, -20.77820121, -482.65625, -248.015625
1, 2, 48, 0, 5, 2, 7, 0.905580791, 0.906626102, -20.50932421, -20.49153889, -483.6875, -250.46875
1, 2, 56, 0, 5, 2, 7, 0.906598077, 0.907574898, -20.23097659, -20.30223643, -480.40625, -245.28125
1, 2, 64, 0, 5, 2, 7, 0.907779987, 0.907222538, -19.9443358, -20.12625838, -480.53125, -246
1, 2, 72, 0, 5, 2, 7, 0.907604169, 0.909674086, -19.89392817, -19.75314833, -477.53125, -247.390625
1, 2, 80, 0, 5, 2, 7, 0.909932546, 0.911453653, -19.59928127, -19.59770814, -478.265625, -244.328125
1, 2, 88, 0, 5, 2, 7, 0.910508344, 0.910684844, -19.14985983, -19.24897496, -476.6875, -245.515625
1, 2, 96, 0, 5, 2, 7, 0.910067391, 0.910878312, -19.147034, -18.89738895, -479.265625, -243.375
1, 2, 104, 0, 5, 2, 7, 0.910812609, 0.911589856, -18.93270675, -18.65412572, -474.390625, -242.28125
1, 2, 112, 0, 5, 2, 7, 0.913730166, 0.914276917, -18.60597672, -18.59745197, -473.515625, -240.890625
1, 2, 120, 0, 5, 2, 7, 0.912926433, 0.913176659, -18.29638484, -18.17924453, -471.453125, -239.640625
1, 2, 128, 0, 5, 2, 7, 0.91509632, 0.912959387, -18.14659623, -18.20089041, -474.828125, -239.421875
1, 2, 136, 0, 5, 2, 7, 0.915505573, 0.914375559, -17.93356702, -17.74344861, -471.875, -238.484375
1, 2, 144, 0, 5, 2, 7, 0.9139525, 0.91425491, -17.82628877, -17.80973408, -469.5625, -236.09375
1, 2, 152, 0, 5, 2, 7, 0.916174011, 0.917301371, -17.40973867, -17.48400315, -465.90625, -232.59375
1, 2, 160, 0, 5, 2, 7, 0.914732744, 0.91704956, -17.35601474, -17.09606241, -470.28125, -236.421875
1, 2, 168, 0, 5, 2, 7, 0.916963512, 0.915145222, -17.12377044, -17.04783967, -469.25, -233.5625
1, 2, 176, 0, 5, 2, 7, 0.917601338, 0.918035366, -16.93344058, -16.93329274, -467.78125, -232.296875
1, 2, 184, 0, 5, 2, 7, 0.916422711, 0.919519173, -16.84557696, -16.77526135, -463.65625, -232.8125
1, 2, 192, 0, 5, 2, 7, 0.918594747, 0.918498897, -16.43175123, -16.42918146, -462.71875, -227.1875
1, 2, 200, 0, 5, 2, 7, 0.919090585, 0.918467051, -16.37000842, -16.15172256, -466.703125, -224.265625
1, 2, 208, 0, 5, 2, 7, 0.920252401, 0.919890497, -16.18594966, -16.20102805, -464.359375, -209.171875
1, 2, 216, 0, 5, 2, 7, 0.918253356, 0.919331456, -16.09416569, -15.78623619, -462.03125, -253.71875
1, 2, 224, 0, 5, 2, 7, 0.920180276, 0.921445765, -15.90098306, -15.69293455, -444.609375, -325.25
1, 2, 232, 0, 5, 2, 7, 0.919510026, 0.921323355, -15.58510678, -15.54441255, -473.328125, -360.984375
1, 2, 240, 0, 5, 2, 7, 0.919702184, 0.919089149, -15.30194676, -15.43095556, -551.390625, -365.03125
1, 2, 248, 0, 5, 2, 7, 0.918941745, 0.921856388, -15.27137159, -15.4021077, -596.75, -360.25
1, 3, 0, 0, 5, 2, 7, 0.922535885, 0.923147769, -15.19962061, -15.22544848, -601.578125, -348.21875
1, 2, 0, 0, 4, 2, 7, 0.928689191, 0.929664966, -11.31555046, -11.26148943, -481.140625, -244.5625
1, 2, 8, 0, 4, 2, 7, 0.929427726, 0.929657021, -11.27660156, -11.29945348, -500.578125, -262.65625
1, 2, 16, 0, 4, 2, 7, 0.929676642, 0.92833552, -11.13735512, -10.95032716, -478.203125, -242.296875
1, 2, 24, 0, 4, 2, 7, 0.92854979, 0.931060514, -10.78759943, -10.93596174, -498.546875, -242.484375
1, 2, 32, 0, 4, 2, 7, 0.929334527, 0.931253043, -10.7949258, -10.72810434, -496.609375, -239.796875
1, 2, 40, 0, 4, 2, 7, 0.929085583, 0.929868833, -10.65836992, -10.66981113, -494.84375, -257.109375
1, 2, 48, 0, 4, 2, 7, 0.930819506, 0.929556477, -10.33604192, -10.37116643, -495.171875, -257.234375
1, 2, 56, 0, 4, 2, 7, 0.929703074, 0.930260919, -10.17113015, -10.15362438, -493.796875, -234.6875
1, 2, 64, 0, 4, 2, 7, 0.929450287, 0.930451949, -10.07223972, -10.17908988, -493.640625, -232.71875
1, 2, 72, 0, 4, 2, 7, 0.929557725, 0.931572484, -10.12440979, -10.0480736, -469.15625, -252.6875
1, 2, 80, 0, 4, 2, 7, 0.930653172, 0.931013964, -9.830144239, -9.942731662, -467.921875, -250.625
